Depth [m],Temp. [deg C],Sal. [ ],Cond. [mS/cm],EC25 [uS/cm],Density [kg/m^3],SigmaT [ ],Chl-Flu. [ppb],Chl-a [ug/l],Turb-M [FTU],DO [%],Weiss-DO [mg/l],Batt. [V],G&G-DO [mg/l],B&K-DO [mg/l],
0.000,23.258,0.014,0.012,12.564,997.489,-2.511,0.57,0.57,7.32,65.64,5.843,8.22,5.856,5.856,
0.100,21.315,0.116,0.222,241.567,998.014,-1.987,3.86,3.86,66.70,63.33,5.599,8.16,5.611,5.611,
0.200,21.314,0.115,0.221,240.817,998.014,-1.987,4.37,4.37,65.97,62.28,5.506,8.16,5.518,5.518,
0.300,21.304,0.116,0.222,242.024,998.017,-1.984,4.92,4.92,66.86,72.72,6.430,8.16,6.444,6.444,
0.400,21.288,0.115,0.221,240.803,998.021,-1.981,5.84,5.84,69.27,69.94,6.184,8.16,6.197,6.197,
0.500,21.278,0.115,0.221,240.883,998.023,-1.979,6.07,6.07,69.74,76.13,6.732,8.15,6.746,6.747,
0.600,21.285,0.115,0.221,240.841,998.022,-1.980,5.59,5.59,67.05,63.51,5.617,8.16,5.629,5.630,
0.700,21.285,0.115,0.221,240.711,998.023,-1.980,5.19,5.19,66.56,71.60,6.332,8.16,6.346,6.346,
0.800,21.298,0.115,0.220,239.806,998.020,-1.984,4.84,4.84,65.83,71.54,6.326,8.15,6.340,6.340,
0.900,21.293,0.115,0.220,239.262,998.021,-1.983,4.76,4.76,65.43,70.25,6.213,8.15,6.226,6.226,
1.000,21.286,0.114,0.219,238.874,998.023,-1.981,4.71,4.71,64.54,66.40,5.872,8.16,5.885,5.885,
1.100,21.281,0.114,0.219,238.958,998.025,-1.980,4.73,4.73,64.56,71.53,6.326,8.16,6.340,6.340,
1.200,21.275,0.114,0.219,238.663,998.026,-1.979,4.72,4.72,64.14,68.65,6.071,8.16,6.084,6.084,
