Depth [m],Temp. [deg C],Sal. [ ],Cond. [mS/cm],EC25 [uS/cm],Density [kg/m^3],SigmaT [ ],Chl-Flu. [ppb],Chl-a [ug/l],Turb-M [FTU],DO [%],Weiss-DO [mg/l],Batt. [V],G&G-DO [mg/l],B&K-DO [mg/l],
0.000,20.488,0.012,0.006,6.919,998.112,-1.888,0.40,0.40,17.14,60.59,5.491,8.22,5.502,5.502,
0.100,21.233,0.113,0.217,236.407,998.030,-1.971,4.52,4.52,70.17,64.14,5.703,8.14,5.715,5.715,
0.200,21.277,0.116,0.222,241.800,998.023,-1.978,5.46,5.46,72.16,71.05,6.304,8.14,6.317,6.317,
0.300,21.280,0.116,0.222,241.425,998.022,-1.979,6.13,6.13,72.84,65.32,5.791,8.14,5.803,5.803,
0.400,21.282,0.116,0.222,241.827,998.022,-1.979,6.29,6.29,74.43,73.85,6.546,8.14,6.560,6.560,
0.500,21.280,0.116,0.222,241.806,998.023,-1.979,5.68,5.68,70.47,65.57,5.809,8.14,5.821,5.821,
0.600,21.282,0.115,0.221,241.096,998.023,-1.980,5.21,5.21,67.52,73.67,6.526,8.14,6.540,6.540,
0.700,21.282,0.115,0.221,240.591,998.023,-1.980,4.98,4.98,66.94,69.37,6.143,8.14,6.156,6.157,
0.800,21.282,0.115,0.221,240.451,998.024,-1.980,4.92,4.92,67.78,73.63,6.520,8.14,6.534,6.534,
0.900,21.282,0.115,0.221,240.381,998.024,-1.980,4.81,4.81,67.30,77.02,6.819,8.14,6.834,6.834,
1.000,21.281,0.115,0.221,240.505,998.025,-1.980,4.75,4.75,67.14,63.47,5.620,8.14,5.632,5.632,
1.100,21.281,0.115,0.221,240.391,998.025,-1.980,4.71,4.71,66.17,69.18,6.125,8.13,6.139,6.139,
1.200,21.282,0.115,0.221,240.264,998.025,-1.980,4.71,4.71,66.58,72.78,6.444,8.13,6.458,6.458,
1.300,21.282,0.115,0.221,240.180,998.026,-1.980,4.72,4.72,67.00,67.66,5.989,8.14,6.002,6.003,
1.400,21.281,0.115,0.221,240.414,998.026,-1.980,4.73,4.73,67.38,65.64,5.811,8.14,5.823,5.824,
1.500,21.282,0.115,0.221,240.336,998.027,-1.980,4.76,4.76,69.46,75.15,6.652,8.14,6.667,6.667,
1.600,21.283,0.115,0.221,240.454,998.027,-1.980,4.78,4.78,70.17,72.25,6.396,8.14,6.410,6.411,
1.700,21.282,0.115,0.221,240.402,998.028,-1.980,4.79,4.79,70.97,65.71,5.816,8.14,5.829,5.829,
1.800,21.277,0.115,0.221,240.539,998.029,-1.979,4.79,4.79,71.69,66.53,5.890,8.14,5.903,5.903,
1.900,21.273,0.115,0.221,240.445,998.030,-1.978,4.73,4.73,69.65,72.21,6.392,8.13,6.406,6.406,
2.000,21.273,0.115,0.221,240.430,998.031,-1.978,4.69,4.69,68.65,70.04,6.200,8.14,6.213,6.214,
2.100,21.275,0.115,0.221,240.250,998.031,-1.979,4.67,4.67,68.25,70.69,6.258,8.14,6.272,6.272,
2.200,21.278,0.115,0.221,240.417,998.031,-1.979,4.67,4.67,67.49,67.45,5.970,8.14,5.983,5.983,
2.300,21.281,0.115,0.221,240.273,998.031,-1.980,4.65,4.65,67.47,68.57,6.070,8.14,6.083,6.083,
2.400,21.283,0.115,0.221,240.404,998.031,-1.980,4.65,4.65,67.25,64.92,5.747,8.14,5.759,5.759,
2.500,21.284,0.115,0.221,240.321,998.031,-1.980,4.64,4.64,67.75,63.76,5.643,8.14,5.655,5.656,
2.600,21.286,0.115,0.221,240.383,998.031,-1.981,4.66,4.66,68.32,71.90,6.364,8.14,6.378,6.378,
2.700,21.287,0.115,0.221,240.173,998.031,-1.981,4.65,4.65,67.58,71.95,6.368,8.14,6.381,6.382,
2.800,21.286,0.115,0.221,240.290,998.032,-1.981,4.65,4.65,67.17,67.46,5.970,8.14,5.983,5.984,
2.900,21.287,0.115,0.221,240.493,998.032,-1.981,4.64,4.64,66.73,71.13,6.295,8.14,6.309,6.309,
3.000,21.287,0.115,0.221,240.506,998.033,-1.981,4.63,4.63,67.44,70.21,6.214,8.14,6.227,6.227,
3.100,21.286,0.115,0.221,240.293,998.033,-1.981,4.66,4.66,68.18,64.82,5.737,8.14,5.750,5.750,
3.200,21.284,0.115,0.221,240.173,998.034,-1.981,4.67,4.67,68.08,72.22,6.392,8.13,6.406,6.406,
3.300,21.277,0.115,0.221,240.212,998.036,-1.979,4.67,4.67,67.28,64.10,5.674,8.14,5.686,5.686,
3.400,21.269,0.115,0.221,240.471,998.038,-1.977,4.69,4.69,68.58,68.82,6.092,8.14,6.106,6.106,
3.500,21.258,0.115,0.221,240.760,998.041,-1.975,4.72,4.72,69.41,66.21,5.861,8.14,5.874,5.874,
3.600,21.217,0.116,0.221,241.478,998.051,-1.965,4.79,4.79,71.50,63.25,5.601,8.14,5.613,5.613,
3.700,21.184,0.116,0.222,242.263,998.059,-1.958,4.84,4.84,73.45,64.45,5.711,8.14,5.723,5.724,
3.800,21.164,0.116,0.222,242.150,998.063,-1.954,4.87,4.87,75.65,64.10,5.683,8.13,5.696,5.696,
3.900,21.160,0.116,0.222,242.095,998.065,-1.953,4.90,4.90,76.41,70.26,6.231,8.14,6.244,6.244,
4.000,21.158,0.116,0.222,242.150,998.066,-1.952,4.89,4.89,76.65,70.42,6.245,8.15,6.258,6.259,
4.100,21.157,0.116,0.222,242.670,998.067,-1.952,4.92,4.92,76.96,73.04,6.478,8.13,6.492,6.492,
4.200,21.145,0.117,0.223,243.776,998.070,-1.949,4.92,4.92,76.49,74.14,6.576,8.14,6.590,6.590,
4.300,21.129,0.117,0.223,244.126,998.074,-1.945,4.94,4.94,76.79,73.10,6.485,8.14,6.499,6.499,
4.400,21.116,0.117,0.224,245.067,998.078,-1.942,4.96,4.96,77.18,67.94,6.028,8.13,6.041,6.042,
4.500,21.104,0.117,0.224,245.146,998.081,-1.939,4.94,4.94,76.39,69.47,6.167,8.14,6.180,6.180,
4.600,21.102,0.117,0.224,244.815,998.082,-1.939,4.92,4.92,75.20,66.71,5.923,8.14,5.935,5.935,
4.700,21.098,0.117,0.224,245.160,998.083,-1.938,4.94,4.94,75.28,71.34,6.334,8.14,6.347,6.348,
4.800,21.096,0.117,0.224,245.289,998.084,-1.938,4.95,4.95,75.56,73.03,6.484,8.14,6.498,6.499,
4.900,21.097,0.117,0.224,245.507,998.084,-1.938,4.92,4.92,75.64,69.73,6.192,8.14,6.205,6.205,
5.000,21.096,0.117,0.224,244.788,998.085,-1.938,4.95,4.95,77.01,67.68,6.010,8.13,6.023,6.023,
5.100,21.098,0.117,0.224,244.752,998.085,-1.938,4.95,4.95,76.77,71.74,6.371,8.14,6.384,6.384,
5.200,21.100,0.117,0.223,244.305,998.085,-1.939,4.94,4.94,76.38,69.30,6.153,8.14,6.167,6.167,
5.300,21.107,0.117,0.223,243.964,998.083,-1.940,4.94,4.94,75.83,72.11,6.403,8.14,6.417,6.417,
5.400,21.108,0.117,0.223,243.902,998.084,-1.941,4.94,4.94,75.59,69.80,6.196,8.14,6.210,6.210,
5.500,21.103,0.117,0.223,244.213,998.085,-1.939,4.94,4.94,76.32,77.13,6.847,8.13,6.862,6.862,
