//Infinity SDlogger
//Ver0.26
[Head]
SondeName=ASTD102-ALC-R02
SondeNo=0199
SensorType=D0D1T1C1C2K0U3O0TOB0
Channel=10
DelayTime=0
PreHeat=5000
MeasMode=2
BurstTime=1
BurstCnt=1
Interval=100
SampleCnt=184       
StartTime=2019/11/05 20:32:09
EndTime=2019/11/05 20:34:52
DepAdjRho=1.0000
ECA=0
ECB=1
ECDeg=25
ECCoef=0.022
CHLA=0
CHLB=1
CoefDate=2012/12/21 8:52:01
Ch1=-3.09483300e-01,1.010723000e-04,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch2=0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch3=-5.583644e+00,+1.069276e-03,-1.253192e-08,+2.870215e-13,-3.440319e-18,+2.475291e-23,+0.000000e+00,+0.000000e+00,
Ch4=-6.404070e-03,+3.820356e+01,-4.291268e-02,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch5=0.000000000e00,1.0000000000000,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch6=-4.421561,6.771150e-3,0.00000000E+00,0.00000000E+00,0.00000000E+00,0.00000000E+00,0.00000000E+00,0.00000000E+00,
Ch7=-9.731543,1.489893e-2,7.630155e-8,1.074271e-15,0.00000000E+00,0.00000000E+00,0.00000000E+00,0.00000000E+00,
Ch8=-4.44839700e01,2.466375000e06,-5.37886700e03,1.060000000e-02,4.400000000e-03,0.000000000e00,-2.10696761e-01,1.0033179056369,
Ch9=-5.308774e+00,+1.028638e-03,-8.434001e-09,+1.100968e-13,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch10=0.000000000e00,3.484000000e-03,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
BuzzerEN=0
BuzzerInterval=1
COMMENT= 
SensorType2=06070303000202020302
BuzzerNumber=1
DepM=0.1
CondDepB=0
FilmNo=122201A
[Item]
Depth [m],Temp. [deg C],Sal. [ ],Cond. [mS/cm],EC25 [uS/cm],Density [kg/m^3],SigmaT [ ],Chl-Flu. [ppb],Chl-a [ug/l],Turb-M [FTU],DO [%],Weiss-DO [mg/l],Batt. [V],G&G-DO [mg/l],B&K-DO [mg/l],
3.100,21.405,0.321,0.613,665.292,998.164,-1.850,4.67,4.67,69.01,67.33,5.940,8.20,5.953,5.953,
3.200,21.402,0.425,0.804,873.099,998.244,-1.770,4.65,4.65,68.43,76.12,6.712,8.21,6.727,6.727,
3.300,21.386,0.631,1.175,1276.438,998.405,-1.610,4.60,4.60,66.94,77.94,6.867,8.21,6.882,6.882,
3.400,21.332,1.046,1.902,2068.589,998.732,-1.283,4.52,4.52,64.82,76.13,6.696,8.20,6.710,6.710,
3.500,21.223,1.828,3.222,3513.989,999.350,-0.665,4.46,4.46,61.92,72.01,6.311,8.20,6.325,6.325,
3.600,21.123,2.646,4.556,4981.116,999.993,-0.023,4.34,4.34,59.22,72.12,6.304,8.20,6.317,6.317,
3.700,21.071,3.010,5.137,5622.880,1000.281,0.265,4.35,4.35,57.13,62.54,5.462,8.21,5.474,5.474,
3.800,21.065,3.229,5.487,6006.615,1000.449,0.432,4.35,4.35,59.12,68.11,5.942,8.20,5.955,5.955,
3.900,21.056,3.360,5.693,6233.435,1000.550,0.533,4.34,4.34,60.18,65.66,5.726,8.19,5.738,5.738,
4.000,21.055,3.404,5.763,6310.633,1000.584,0.567,4.36,4.36,60.39,67.99,5.927,8.21,5.940,5.940,
4.100,21.054,3.414,5.779,6328.728,1000.593,0.575,4.38,4.38,61.32,70.36,6.134,8.20,6.148,6.148,
4.200,21.053,3.427,5.799,6350.331,1000.603,0.584,4.39,4.39,61.35,72.88,6.353,8.20,6.367,6.367,
4.300,21.053,3.445,5.828,6382.014,1000.617,0.598,4.36,4.36,61.78,69.70,6.076,8.20,6.090,6.090,
4.400,21.052,3.440,5.819,6372.423,1000.614,0.594,4.36,4.36,62.06,67.49,5.884,8.20,5.897,5.897,
4.500,21.053,3.431,5.806,6357.642,1000.607,0.587,4.37,4.37,61.93,58.43,5.094,8.20,5.106,5.106,
4.600,21.052,3.456,5.844,6400.162,1000.627,0.606,4.37,4.37,61.87,63.30,5.518,8.20,5.530,5.530,
4.700,21.051,3.450,5.836,6391.310,1000.623,0.602,4.37,4.37,61.50,67.46,5.881,8.22,5.894,5.894,
4.800,21.051,3.444,5.827,6380.972,1000.619,0.598,4.40,4.40,61.87,69.26,6.038,8.20,6.051,6.051,
4.900,21.052,3.442,5.823,6377.150,1000.618,0.596,4.37,4.37,61.79,67.59,5.893,8.20,5.906,5.906,
5.000,21.051,3.438,5.816,6369.579,1000.615,0.593,4.39,4.39,60.75,74.67,6.511,8.20,6.525,6.525,
5.100,21.051,3.454,5.842,6397.532,1000.628,0.605,4.33,4.33,59.11,70.51,6.146,8.18,6.160,6.160,
5.200,21.049,3.482,5.885,6445.533,1000.650,0.627,4.36,4.36,60.00,64.87,5.653,8.20,5.666,5.666,
5.300,21.045,3.688,6.211,6802.874,1000.807,0.784,4.37,4.37,60.54,68.21,5.938,8.21,5.951,5.951,
5.400,21.017,4.033,6.749,7396.647,1001.075,1.051,4.35,4.35,61.68,68.77,5.976,8.20,5.989,5.989,
5.500,20.997,4.364,7.260,7961.627,1001.330,1.306,4.33,4.33,61.74,67.86,5.888,8.20,5.901,5.901,
5.600,20.954,4.594,7.610,8354.062,1001.514,1.490,4.32,4.32,61.60,66.77,5.789,8.20,5.802,5.802,
5.700,20.941,4.741,7.836,8604.070,1001.629,1.604,4.31,4.31,61.79,64.72,5.608,8.20,5.620,5.620,
5.800,20.926,4.876,8.041,8832.664,1001.735,1.709,4.32,4.32,61.96,65.14,5.642,8.20,5.654,5.654,
5.900,20.904,5.050,8.304,9126.442,1001.872,1.846,4.31,4.31,61.84,66.82,5.784,8.20,5.796,5.796,
6.000,20.892,5.116,8.403,9237.704,1001.925,1.899,4.31,4.31,61.59,62.40,5.400,8.21,5.412,5.412,
6.100,20.880,5.392,8.821,9700.268,1002.137,2.109,4.30,4.30,61.23,65.66,5.675,8.21,5.687,5.687,
6.200,20.849,5.812,9.453,10402.540,1002.462,2.434,4.28,4.28,60.18,68.87,5.939,8.20,5.952,5.952,
6.300,20.795,6.743,10.838,11943.123,1003.178,3.150,4.27,4.27,59.11,74.40,6.383,8.21,6.397,6.397,
6.400,20.715,7.350,11.719,12938.736,1003.655,3.627,4.20,4.20,57.99,69.52,5.949,8.21,5.962,5.962,
6.500,20.661,7.556,12.010,13277.418,1003.824,3.795,4.18,4.18,57.27,65.92,5.639,8.20,5.652,5.651,
6.600,20.583,7.914,12.515,13862.100,1004.113,4.083,4.14,4.14,56.40,73.88,6.315,8.20,6.329,6.329,
6.700,20.560,8.010,12.649,14017.985,1004.191,4.161,4.13,4.13,56.21,69.54,5.945,8.20,5.958,5.958,
6.800,20.546,8.035,12.682,14059.259,1004.213,4.183,4.12,4.12,56.34,70.93,6.067,8.20,6.081,6.081,
6.900,20.542,8.048,12.700,14080.349,1004.224,4.194,4.12,4.12,56.58,67.62,5.785,8.21,5.798,5.798,
7.000,20.531,8.101,12.774,14167.093,1004.268,4.236,4.12,4.12,56.30,63.36,5.422,8.21,5.434,5.434,
7.100,20.525,8.252,12.992,14411.151,1004.383,4.352,4.10,4.10,56.23,68.28,5.841,8.21,5.854,5.853,
7.200,20.501,8.622,13.522,15007.489,1004.668,4.636,4.11,4.11,56.34,68.38,5.838,8.22,5.851,5.851,
7.300,20.474,9.041,14.120,15681.707,1004.992,4.959,4.09,4.09,56.48,70.27,5.988,8.20,6.001,6.001,
7.400,20.370,10.215,15.768,17556.478,1005.903,5.870,4.09,4.09,56.55,66.31,5.618,8.20,5.630,5.630,
7.500,20.312,10.480,16.125,17978.998,1006.117,6.084,4.06,4.06,57.19,67.39,5.705,8.20,5.718,5.717,
7.600,20.277,10.563,16.230,18112.346,1006.189,6.155,4.08,4.08,56.80,68.93,5.837,8.20,5.850,5.850,
7.700,20.251,10.901,16.698,18646.219,1006.450,6.416,4.09,4.09,57.13,60.11,5.084,8.21,5.095,5.095,
7.800,20.199,11.324,17.274,19314.355,1006.782,6.748,4.04,4.04,57.47,70.90,5.988,8.21,6.001,6.000,
7.900,20.164,11.808,17.940,20075.441,1007.157,7.122,4.06,4.06,57.78,72.00,6.065,8.21,6.079,6.078,
8.000,20.122,12.036,18.241,20434.300,1007.340,7.305,4.06,4.06,57.58,71.14,5.988,8.19,6.001,6.001,
8.100,20.092,12.230,18.499,20737.869,1007.494,7.458,4.01,4.01,56.82,75.32,6.336,8.20,6.350,6.350,
8.200,20.063,12.529,18.902,21205.917,1007.727,7.691,3.95,3.95,56.10,72.66,6.105,8.20,6.118,6.118,
8.300,20.018,12.936,19.446,21839.498,1008.045,8.009,3.94,3.94,56.29,68.82,5.771,8.20,5.784,5.784,
8.400,19.889,14.813,21.956,24737.460,1009.496,9.459,3.95,3.95,57.29,65.13,5.408,8.20,5.420,5.420,
8.500,19.789,15.376,22.670,25605.467,1009.946,9.908,3.91,3.91,55.90,68.68,5.690,8.20,5.703,5.702,
8.600,19.708,15.851,23.269,26334.709,1010.324,10.287,3.95,3.95,55.14,65.07,5.382,8.20,5.394,5.394,
8.700,19.604,16.208,23.694,26886.125,1010.620,10.581,3.93,3.93,53.12,68.73,5.687,8.20,5.699,5.699,
8.800,19.578,16.329,23.841,27070.774,1010.717,10.678,3.87,3.87,51.12,67.60,5.594,8.20,5.606,5.606,
8.900,19.523,17.056,24.780,28175.106,1011.281,11.242,3.75,3.75,49.35,71.86,5.934,8.21,5.946,5.946,
9.000,19.455,17.222,24.964,28432.202,1011.424,11.384,3.62,3.62,47.10,74.11,6.123,8.20,6.136,6.136,
9.100,19.437,17.514,25.339,28872.421,1011.649,11.609,3.55,3.55,45.57,78.23,6.458,8.20,6.472,6.471,
9.200,19.405,18.031,26.002,29652.298,1012.049,12.008,3.50,3.50,42.79,73.27,6.033,8.20,6.045,6.045,
9.300,19.280,19.073,27.294,31223.312,1012.869,12.828,3.46,3.46,38.93,68.34,5.600,8.20,5.612,5.612,
9.400,19.240,19.347,27.628,31636.543,1013.087,13.046,3.47,3.47,38.79,74.16,6.073,8.20,6.086,6.085,
9.500,19.192,19.769,28.145,32267.787,1013.418,13.376,3.49,3.49,38.82,70.17,5.736,8.20,5.748,5.748,
9.600,19.160,20.036,28.471,32668.911,1013.629,13.587,3.39,3.39,38.82,69.04,5.639,8.21,5.651,5.651,
9.700,19.113,20.392,28.901,33200.805,1013.910,13.868,3.39,3.39,38.23,73.04,5.960,8.19,5.972,5.972,
9.800,19.083,20.655,29.221,33593.511,1014.117,14.074,3.27,3.27,37.54,78.80,6.424,8.21,6.437,6.437,
9.900,19.044,21.105,29.773,34262.409,1014.469,14.425,3.24,3.24,36.37,73.54,5.982,8.20,5.995,5.995,
10.000,19.013,21.347,30.062,34622.639,1014.660,14.616,3.17,3.17,35.21,68.82,5.593,8.19,5.605,5.605,
10.100,18.982,21.670,30.455,35102.163,1014.913,14.869,3.21,3.21,34.44,69.83,5.668,8.20,5.680,5.680,
10.200,18.949,21.818,30.622,35324.309,1015.034,14.989,3.12,3.12,33.70,69.81,5.665,8.20,5.677,5.677,
10.300,18.919,22.149,31.022,35813.327,1015.293,15.248,3.09,3.09,32.66,66.77,5.409,8.19,5.421,5.420,
10.400,18.885,22.417,31.340,36211.442,1015.505,15.460,3.13,3.13,32.45,72.76,5.889,8.21,5.901,5.901,
10.500,18.758,23.631,32.782,38000.440,1016.458,16.412,3.16,3.16,31.77,73.55,5.916,8.20,5.928,5.928,
10.600,18.709,24.191,33.449,38821.924,1016.896,16.850,3.14,3.14,32.05,71.34,5.723,8.21,5.735,5.735,
10.700,18.668,24.661,34.006,39509.734,1017.264,17.217,3.14,3.14,31.85,71.37,5.713,8.20,5.725,5.725,
10.800,18.572,25.292,34.719,40437.156,1017.767,17.720,3.26,3.26,33.07,71.40,5.701,8.20,5.712,5.712,
10.900,18.545,25.557,35.027,40824.166,1017.976,17.929,3.16,3.16,34.39,65.98,5.262,8.20,5.273,5.273,
11.000,18.506,25.966,35.502,41419.933,1018.298,18.250,2.91,2.91,33.99,66.58,5.306,8.20,5.317,5.317,
11.100,18.481,26.180,35.746,41730.832,1018.466,18.418,3.03,3.03,34.93,78.62,6.266,8.21,6.279,6.278,
11.200,18.468,26.253,35.826,41838.727,1018.526,18.477,3.11,3.11,35.79,82.87,6.604,8.20,6.617,6.617,
11.300,18.443,26.469,36.073,42153.259,1018.697,18.648,3.14,3.14,37.48,85.70,6.824,8.19,6.837,6.837,
11.400,18.400,26.827,36.478,42673.746,1018.980,18.930,3.11,3.11,40.02,78.74,6.258,8.20,6.270,6.270,
11.500,18.375,26.939,36.596,42838.958,1019.072,19.022,3.16,3.16,44.45,79.40,6.309,8.20,6.321,6.321,
11.600,18.346,27.171,36.855,43175.411,1019.256,19.205,3.20,3.20,48.33,75.40,5.984,8.19,5.996,5.996,
11.700,18.318,27.293,36.981,43355.008,1019.356,19.305,3.52,3.52,52.43,80.47,6.386,8.20,6.398,6.398,
11.800,18.313,27.324,37.016,43401.091,1019.381,19.330,3.54,3.54,54.47,77.27,6.133,8.21,6.145,6.145,
11.900,18.307,27.362,37.058,43456.057,1019.412,19.360,3.56,3.56,55.36,68.33,5.424,8.20,5.434,5.434,
12.000,18.299,27.407,37.105,43521.373,1019.448,19.396,3.55,3.55,57.89,77.16,6.126,8.20,6.138,6.138,
12.100,18.297,27.431,37.134,43557.454,1019.468,19.416,3.58,3.58,60.89,72.79,5.779,8.20,5.790,5.790,
12.200,18.292,27.473,37.180,43617.261,1019.501,19.448,3.63,3.63,63.67,71.62,5.685,8.20,5.696,5.696,
12.300,18.286,27.506,37.216,43666.019,1019.529,19.475,3.69,3.69,66.51,79.13,6.281,8.20,6.293,6.293,
12.400,18.281,27.524,37.234,43692.043,1019.544,19.490,3.62,3.62,66.44,77.09,6.119,8.19,6.131,6.131,
12.500,18.279,27.544,37.257,43721.696,1019.560,19.506,3.79,3.79,70.80,73.27,5.815,8.19,5.826,5.826,
12.600,18.274,27.579,37.295,43771.931,1019.588,19.533,3.91,3.91,73.99,77.01,6.111,8.20,6.123,6.123,
12.700,18.271,27.605,37.325,43809.770,1019.609,19.554,4.03,4.03,76.19,73.88,5.862,8.20,5.873,5.873,
12.800,18.267,27.621,37.341,43834.017,1019.623,19.567,3.94,3.94,78.98,73.53,5.835,8.20,5.847,5.847,
12.900,18.265,27.631,37.352,43849.219,1019.632,19.576,3.98,3.98,78.35,74.19,5.888,8.19,5.899,5.899,
13.000,18.264,27.642,37.364,43864.056,1019.640,19.584,4.01,4.01,81.81,72.29,5.738,8.20,5.749,5.749,
13.100,18.258,27.686,37.413,43928.245,1019.676,19.619,4.17,4.17,92.47,71.72,5.691,8.21,5.702,5.702,
13.200,18.256,27.694,37.421,43940.750,1019.683,19.626,4.08,4.08,88.67,76.21,6.046,8.20,6.058,6.058,
13.300,18.257,27.684,37.410,43925.841,1019.676,19.618,4.19,4.19,87.89,74.25,5.891,8.20,5.903,5.902,
13.400,18.256,27.682,37.407,43923.379,1019.675,19.617,4.09,4.09,85.23,76.55,6.075,8.20,6.087,6.086,
13.500,18.256,27.688,37.414,43931.539,1019.680,19.621,4.14,4.14,87.70,78.31,6.215,8.20,6.227,6.227,
13.600,18.248,27.762,37.497,44038.892,1019.739,19.679,4.35,4.35,97.74,76.92,6.101,8.21,6.113,6.113,
13.700,18.245,27.772,37.507,44053.593,1019.747,19.688,4.31,4.31,98.73,76.43,6.062,8.20,6.074,6.074,
13.800,18.244,27.777,37.512,44061.426,1019.752,19.692,4.30,4.30,100.97,74.62,5.920,8.20,5.932,5.931,
13.900,18.244,27.779,37.515,44063.681,1019.754,19.693,4.50,4.50,101.72,74.96,5.947,8.20,5.959,5.959,
14.000,18.243,27.786,37.522,44074.259,1019.760,19.699,4.50,4.50,105.28,74.15,5.882,8.21,5.893,5.893,
14.100,18.241,27.804,37.543,44100.429,1019.774,19.713,4.46,4.46,105.89,69.89,5.544,8.20,5.554,5.554,
14.200,18.239,27.813,37.552,44114.532,1019.783,19.721,4.50,4.50,107.92,75.70,6.004,8.20,6.016,6.016,
14.300,18.238,27.813,37.551,44113.413,1019.783,19.720,4.48,4.48,106.30,84.27,6.684,8.21,6.697,6.697,
14.400,18.237,27.820,37.559,44123.489,1019.788,19.726,4.59,4.59,110.43,75.55,5.992,8.20,6.003,6.003,
14.500,18.235,27.833,37.573,44143.055,1019.800,19.737,4.47,4.47,110.82,68.09,5.400,8.19,5.410,5.410,
14.600,18.234,27.839,37.580,44151.808,1019.805,19.741,4.86,4.86,119.27,75.53,5.991,8.20,6.002,6.002,
14.700,18.233,27.841,37.582,44155.649,1019.807,19.744,4.90,4.90,121.29,76.55,6.072,8.20,6.083,6.083,
14.800,18.233,27.840,37.581,44153.386,1019.807,19.742,4.86,4.86,122.29,77.18,6.122,8.20,6.134,6.133,
14.900,18.233,27.845,37.587,44161.549,1019.812,19.747,4.77,4.77,121.69,70.27,5.573,8.20,5.584,5.584,
15.000,18.229,27.868,37.611,44193.944,1019.830,19.765,4.96,4.96,129.60,80.75,6.405,8.20,6.418,6.418,
15.100,18.227,27.883,37.627,44215.903,1019.842,19.777,5.02,5.02,132.75,77.31,6.132,8.21,6.144,6.144,
15.200,18.225,27.895,37.640,44233.481,1019.852,19.786,5.09,5.09,135.62,70.82,5.617,8.18,5.628,5.627,
15.300,18.223,27.899,37.643,44239.683,1019.856,19.790,5.17,5.17,143.03,69.51,5.513,8.20,5.524,5.524,
15.400,18.222,27.908,37.654,44252.383,1019.864,19.797,5.24,5.24,149.58,66.18,5.249,8.20,5.259,5.259,
15.500,18.220,27.913,37.659,44260.083,1019.868,19.801,5.48,5.48,148.96,71.88,5.701,8.21,5.712,5.712,
15.600,18.218,27.920,37.666,44270.536,1019.875,19.807,5.34,5.34,144.90,79.20,6.280,8.21,6.292,6.292,
15.700,18.214,27.938,37.684,44297.642,1019.890,19.822,5.32,5.32,151.51,80.78,6.406,8.20,6.418,6.418,
15.800,18.212,27.948,37.695,44312.407,1019.899,19.830,5.38,5.38,151.74,81.42,6.458,8.18,6.470,6.470,
15.900,18.211,27.953,37.700,44319.969,1019.903,19.834,5.38,5.38,157.56,74.88,5.939,8.22,5.950,5.950,
16.000,18.207,27.972,37.720,44347.365,1019.919,19.849,5.36,5.36,158.36,71.57,5.677,8.21,5.688,5.688,
16.100,18.202,28.001,37.750,44389.464,1019.943,19.873,5.47,5.47,159.30,72.74,5.770,8.20,5.781,5.781,
16.200,18.197,28.027,37.778,44427.538,1019.964,19.894,5.50,5.50,157.94,76.00,6.029,8.21,6.041,6.041,
16.300,18.192,28.048,37.800,44458.548,1019.982,19.911,5.47,5.47,157.94,73.47,5.830,8.20,5.841,5.841,
16.400,18.185,28.102,37.859,44536.168,1020.025,19.954,5.47,5.47,158.47,72.13,5.724,8.20,5.735,5.735,
16.500,18.175,28.145,37.904,44600.384,1020.061,19.989,5.50,5.50,159.22,70.94,5.630,8.20,5.640,5.640,
16.600,18.160,28.187,37.942,44662.234,1020.097,20.024,5.70,5.70,156.06,74.25,5.892,8.21,5.903,5.903,
