//Infinity SDlogger
//Ver0.26
[Head]
SondeName=ASTD102-ALC-R02
SondeNo=0199
SensorType=D0D1T1C1C2K0U3O0TOB0
Channel=10
DelayTime=0
PreHeat=5000
MeasMode=2
BurstTime=1
BurstCnt=1
Interval=100
SampleCnt=178       
StartTime=2019/11/05 21:10:31
EndTime=2019/11/05 21:11:10
DepAdjRho=1.0000
ECA=0
ECB=1
ECDeg=25
ECCoef=0.022
CHLA=0
CHLB=1
CoefDate=2012/12/21 8:52:01
Ch1=-3.09483300e-01,1.010723000e-04,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch2=0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch3=-5.583644e+00,+1.069276e-03,-1.253192e-08,+2.870215e-13,-3.440319e-18,+2.475291e-23,+0.000000e+00,+0.000000e+00,
Ch4=-6.404070e-03,+3.820356e+01,-4.291268e-02,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch5=0.000000000e00,1.0000000000000,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch6=-4.421561,6.771150e-3,0.00000000E+00,0.00000000E+00,0.00000000E+00,0.00000000E+00,0.00000000E+00,0.00000000E+00,
Ch7=-9.731543,1.489893e-2,7.630155e-8,1.074271e-15,0.00000000E+00,0.00000000E+00,0.00000000E+00,0.00000000E+00,
Ch8=-4.44839700e01,2.466375000e06,-5.37886700e03,1.060000000e-02,4.400000000e-03,0.000000000e00,-2.10696761e-01,1.0033179056369,
Ch9=-5.308774e+00,+1.028638e-03,-8.434001e-09,+1.100968e-13,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch10=0.000000000e00,3.484000000e-03,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
BuzzerEN=0
BuzzerInterval=1
COMMENT= 
SensorType2=06070303000202020302
BuzzerNumber=1
DepM=0.1
CondDepB=0
FilmNo=122201A
[Item]
Depth [m],Temp. [deg C],Sal. [ ],Cond. [mS/cm],EC25 [uS/cm],Density [kg/m^3],SigmaT [ ],Chl-Flu. [ppb],Chl-a [ug/l],Turb-M [FTU],DO [%],Weiss-DO [mg/l],Batt. [V],G&G-DO [mg/l],B&K-DO [mg/l],
0.000,17.434,0.010,0.004,4.349,998.707,-1.293,-0.07,-0.07,5.56,67.39,6.305,8.25,6.316,6.316,
0.100,21.218,0.171,0.328,357.500,998.077,-1.924,5.95,5.95,77.15,64.45,5.766,8.18,5.778,5.778,
0.200,21.322,0.170,0.328,356.798,998.054,-1.946,5.95,5.95,71.16,61.86,5.514,8.19,5.526,5.526,
0.300,21.391,0.170,0.328,356.494,998.039,-1.962,5.55,5.55,69.10,73.04,6.490,8.19,6.503,6.504,
0.400,21.402,0.170,0.328,356.330,998.038,-1.964,5.34,5.34,68.19,72.29,6.416,8.19,6.429,6.430,
0.500,21.408,0.170,0.328,356.636,998.037,-1.965,5.21,5.21,68.30,69.99,6.206,8.19,6.219,6.219,
0.600,21.412,0.170,0.328,356.026,998.036,-1.967,5.13,5.13,69.48,68.25,6.048,8.19,6.061,6.062,
0.700,21.413,0.170,0.327,354.885,998.036,-1.967,5.04,5.04,69.56,67.29,5.960,8.19,5.973,5.973,
0.800,21.414,0.169,0.325,353.077,998.035,-1.968,4.94,4.94,68.82,61.36,5.432,8.19,5.444,5.444,
0.900,21.414,0.168,0.324,352.013,998.036,-1.969,4.91,4.91,68.52,65.05,5.757,8.19,5.770,5.770,
1.000,21.412,0.168,0.323,351.211,998.036,-1.968,4.71,4.71,62.71,68.61,6.074,8.19,6.087,6.088,
1.100,21.409,0.168,0.324,351.452,998.037,-1.968,4.71,4.71,64.54,71.02,6.291,8.20,6.305,6.305,
1.200,21.412,0.168,0.324,351.481,998.037,-1.968,4.76,4.76,65.89,69.26,6.137,8.19,6.150,6.150,
1.300,21.419,0.171,0.330,357.874,998.038,-1.968,4.81,4.81,67.49,64.57,5.722,8.20,5.735,5.735,
1.400,21.421,0.171,0.329,356.951,998.038,-1.968,4.84,4.84,68.86,67.77,6.002,8.20,6.015,6.015,
1.500,21.421,0.170,0.328,355.515,998.038,-1.969,4.88,4.88,69.24,68.12,6.027,8.18,6.040,6.041,
1.600,21.421,0.172,0.331,359.037,998.040,-1.968,4.90,4.90,69.12,68.81,6.084,8.19,6.098,6.098,
1.700,21.421,0.170,0.328,356.295,998.039,-1.968,4.87,4.87,68.63,64.43,5.696,8.19,5.708,5.708,
1.800,21.420,0.169,0.327,354.527,998.039,-1.969,4.85,4.85,68.54,69.02,6.101,8.19,6.114,6.114,
