Depth [m],Temp. [deg C],Sal. [ ],Cond. [mS/cm],EC25 [uS/cm],Density [kg/m^3],SigmaT [ ],Chl-Flu. [ppb],Chl-a [ug/l],Turb-M [FTU],DO [%],Weiss-DO [mg/l],Batt. [V],G&G-DO [mg/l],B&K-DO [mg/l],
0.000,19.876,0.013,0.010,11.739,998.241,-1.759,0.18,0.18,7.16,74.99,6.926,8.27,6.940,6.940,
0.100,21.301,0.161,0.310,337.553,998.052,-1.949,4.75,4.75,74.47,73.05,6.510,8.18,6.523,6.524,
0.200,21.549,0.174,0.336,363.520,998.007,-1.994,4.76,4.76,67.63,67.68,5.996,8.19,6.009,6.010,
0.300,21.564,0.173,0.335,362.672,998.004,-1.998,4.71,4.71,67.89,70.49,6.242,8.19,6.255,6.256,
0.400,21.580,0.173,0.334,361.298,998.000,-2.002,4.62,4.62,65.14,80.75,7.136,8.18,7.152,7.152,
0.500,21.581,0.172,0.333,360.253,998.000,-2.002,4.64,4.64,65.67,74.61,6.592,8.19,6.606,6.607,
0.600,21.584,0.173,0.334,360.935,998.000,-2.003,4.70,4.70,71.44,69.26,6.117,8.19,6.130,6.131,
0.700,21.585,0.172,0.333,360.370,998.000,-2.004,4.60,4.60,68.50,76.18,6.724,8.19,6.739,6.739,
0.800,21.588,0.172,0.333,360.191,998.000,-2.004,4.60,4.60,68.79,76.05,6.710,8.18,6.724,6.724,
0.900,21.589,0.172,0.333,359.817,997.999,-2.005,4.60,4.60,69.99,68.53,6.043,8.19,6.056,6.056,
1.000,21.588,0.172,0.333,360.200,998.000,-2.004,4.56,4.56,68.10,65.41,5.766,8.19,5.779,5.779,
1.100,21.588,0.172,0.333,359.633,998.001,-2.004,4.57,4.57,69.07,68.28,6.019,8.19,6.032,6.032,
1.200,21.589,0.172,0.333,359.760,998.001,-2.004,4.67,4.67,70.10,66.16,5.833,8.19,5.845,5.846,
1.300,21.594,0.172,0.333,360.171,998.000,-2.005,4.62,4.62,69.49,68.76,6.064,8.19,6.077,6.077,
1.400,21.599,0.172,0.333,359.472,997.999,-2.007,4.60,4.60,68.08,74.76,6.594,8.19,6.609,6.609,
1.500,21.601,0.171,0.332,358.586,997.999,-2.008,4.57,4.57,67.23,68.11,6.008,8.19,6.021,6.022,
1.600,21.601,0.172,0.332,358.949,998.000,-2.007,4.56,4.56,67.44,69.08,6.092,8.19,6.106,6.106,
1.700,21.599,0.172,0.332,359.164,998.001,-2.007,4.54,4.54,66.95,72.59,6.402,8.19,6.416,6.416,
1.800,21.596,0.172,0.332,359.124,998.002,-2.006,4.52,4.52,66.40,75.99,6.697,8.19,6.711,6.712,
1.900,21.593,0.172,0.332,358.979,998.003,-2.006,4.50,4.50,64.75,80.63,7.105,8.18,7.120,7.120,
2.000,21.591,0.171,0.331,358.311,998.003,-2.006,4.48,4.48,65.47,71.32,6.286,8.20,6.300,6.300,
2.100,21.593,0.171,0.331,358.283,998.003,-2.006,4.73,4.73,65.65,64.15,5.651,8.19,5.663,5.663,
2.200,21.594,0.177,0.343,370.941,998.008,-2.002,4.64,4.64,69.21,69.90,6.157,8.19,6.170,6.171,
2.300,21.593,0.177,0.342,370.202,998.009,-2.002,4.67,4.67,69.95,69.67,6.136,8.19,6.150,6.150,
2.400,21.594,0.178,0.344,371.466,998.009,-2.001,4.71,4.71,71.25,67.50,5.947,8.19,5.960,5.960,
2.500,21.594,0.179,0.346,374.268,998.011,-2.000,4.65,4.65,68.83,73.56,6.485,8.19,6.499,6.499,
2.600,21.593,0.184,0.355,384.042,998.015,-1.996,4.63,4.63,68.27,75.35,6.643,8.20,6.657,6.658,
2.700,21.591,0.200,0.387,417.983,998.029,-1.983,4.60,4.60,67.42,79.00,6.964,8.18,6.979,6.979,
2.800,21.586,0.200,0.386,417.425,998.030,-1.983,4.62,4.62,66.66,79.94,7.046,8.19,7.062,7.062,
2.900,21.583,0.251,0.483,522.698,998.070,-1.943,4.65,4.65,66.98,69.46,6.121,8.19,6.134,6.135,
3.000,21.575,0.226,0.435,470.822,998.053,-1.961,4.67,4.67,67.27,71.93,6.340,8.19,6.354,6.354,
3.100,21.570,0.219,0.423,457.358,998.050,-1.964,4.67,4.67,67.08,74.11,6.533,8.19,6.547,6.547,
3.200,21.570,0.212,0.409,442.390,998.045,-1.970,4.67,4.67,67.13,68.59,6.046,8.19,6.059,6.060,
3.300,21.571,0.209,0.404,436.803,998.043,-1.972,4.63,4.63,66.26,68.04,5.997,8.18,6.010,6.010,
3.400,21.569,0.216,0.416,450.426,998.049,-1.967,4.70,4.70,65.62,71.10,6.267,8.19,6.280,6.281,
3.500,21.560,0.233,0.448,484.792,998.064,-1.952,4.62,4.62,64.64,71.39,6.290,8.19,6.304,6.304,
3.600,21.556,0.226,0.435,470.539,998.060,-1.956,4.67,4.67,63.53,73.10,6.442,8.20,6.456,6.457,
3.700,21.547,0.265,0.509,551.255,998.092,-1.924,4.65,4.65,64.81,76.49,6.739,8.19,6.753,6.754,
3.800,21.503,0.354,0.675,731.689,998.171,-1.846,4.64,4.64,64.23,66.79,5.885,8.19,5.897,5.898,
3.900,21.461,0.431,0.816,885.142,998.239,-1.778,4.64,4.64,64.15,75.17,6.625,8.20,6.640,6.640,
4.000,21.441,0.458,0.863,936.846,998.264,-1.754,4.67,4.67,64.39,70.46,6.212,8.18,6.225,6.226,
4.100,21.433,0.497,0.935,1014.567,998.296,-1.722,4.62,4.62,63.04,67.31,5.933,8.18,5.946,5.946,
4.200,21.419,0.514,0.965,1047.435,998.312,-1.706,4.64,4.64,62.10,69.85,6.157,8.19,6.171,6.171,
4.300,21.417,0.518,0.973,1056.761,998.317,-1.702,4.65,4.65,62.53,71.14,6.272,8.19,6.286,6.286,
4.400,21.416,0.522,0.980,1063.786,998.320,-1.699,4.62,4.62,63.31,70.28,6.199,8.19,6.213,6.213,
4.500,21.416,0.523,0.982,1065.966,998.321,-1.699,4.61,4.61,62.84,69.16,6.101,8.18,6.114,6.114,
4.600,21.416,0.532,0.998,1083.332,998.329,-1.692,4.60,4.60,62.70,69.32,6.115,8.19,6.128,6.128,
4.700,21.417,0.535,1.003,1088.991,998.331,-1.690,4.62,4.62,63.03,73.59,6.491,8.19,6.505,6.506,
4.800,21.417,0.536,1.006,1091.911,998.333,-1.689,4.61,4.61,62.95,69.18,6.103,8.18,6.116,6.116,
4.900,21.417,0.544,1.019,1106.191,998.339,-1.683,4.60,4.60,63.14,70.91,6.255,8.19,6.269,6.269,
5.000,21.418,0.568,1.063,1153.808,998.357,-1.665,4.60,4.60,62.95,75.64,6.671,8.19,6.686,6.686,
5.100,21.418,0.580,1.085,1177.297,998.367,-1.656,4.60,4.60,62.99,69.66,6.144,8.18,6.157,6.157,
5.200,21.418,0.637,1.186,1287.843,998.411,-1.613,4.60,4.60,63.26,75.49,6.656,8.19,6.671,6.671,
5.300,21.418,0.693,1.286,1396.063,998.454,-1.570,4.59,4.59,62.82,70.38,6.204,8.19,6.217,6.218,
