Depth [m],Temp. [deg C],Sal. [ ],Cond. [mS/cm],EC25 [uS/cm],Density [kg/m^3],SigmaT [ ],Chl-Flu. [ppb],Chl-a [ug/l],Turb-M [FTU],DO [%],Weiss-DO [mg/l],Batt. [V],G&G-DO [mg/l],B&K-DO [mg/l],
8.700,21.347,0.332,0.631,686.649,998.210,-1.829,4.60,4.60,73.53,64.01,5.648,8.14,5.660,5.660,
8.800,21.345,0.333,0.633,688.755,998.212,-1.828,4.61,4.61,74.16,69.65,6.145,8.14,6.159,6.159,
8.900,21.344,0.337,0.642,697.736,998.216,-1.824,4.62,4.62,74.66,74.79,6.599,8.16,6.614,6.614,
9.000,21.339,0.350,0.665,723.279,998.227,-1.813,4.60,4.60,74.60,62.93,5.552,8.16,5.564,5.564,
9.100,21.330,0.375,0.712,774.097,998.249,-1.792,4.62,4.62,74.19,76.72,6.769,8.16,6.783,6.784,
9.200,21.319,0.401,0.759,825.865,998.271,-1.770,4.61,4.61,74.02,72.15,6.365,8.16,6.379,6.379,
9.300,21.306,0.418,0.788,857.964,998.287,-1.755,4.59,4.59,73.59,67.90,5.991,8.16,6.004,6.004,
9.400,21.291,0.429,0.809,881.358,998.300,-1.742,4.52,4.52,72.54,67.22,5.932,8.15,5.945,5.946,
9.500,21.288,0.433,0.816,888.760,998.303,-1.739,4.52,4.52,71.25,68.53,6.048,8.15,6.062,6.062,
9.600,21.283,0.457,0.860,936.369,998.323,-1.719,4.52,4.52,70.25,67.33,5.942,8.16,5.955,5.955,
9.700,21.250,0.588,1.095,1193.016,998.431,-1.613,4.55,4.55,70.83,82.91,7.314,8.15,7.330,7.331,
9.800,21.238,0.649,1.203,1312.019,998.480,-1.563,4.56,4.56,70.86,91.24,8.048,8.15,8.066,8.066,
9.900,21.232,0.681,1.261,1374.621,998.507,-1.538,4.57,4.57,70.91,87.85,7.749,8.15,7.766,7.766,
10.000,21.223,0.808,1.483,1617.465,998.605,-1.440,4.53,4.53,69.29,78.74,6.941,8.15,6.956,6.957,
10.100,21.216,0.885,1.618,1765.170,998.666,-1.379,4.51,4.51,67.89,73.90,6.513,8.15,6.528,6.528,
10.200,21.211,0.952,1.735,1892.870,998.719,-1.327,4.54,4.54,67.05,70.98,6.254,8.15,6.268,6.268,
10.300,21.198,1.077,1.951,2129.533,998.817,-1.229,4.51,4.51,65.59,73.43,6.467,8.15,6.481,6.481,
