Depth [m],Temp. [deg C],Sal. [ ],Cond. [mS/cm],EC25 [uS/cm],Density [kg/m^3],SigmaT [ ],Chl-Flu. [ppb],Chl-a [ug/l],Turb-M [FTU],DO [%],Weiss-DO [mg/l],Batt. [V],G&G-DO [mg/l],B&K-DO [mg/l],
0.000,21.642,0.012,0.008,8.246,997.862,-2.138,0.34,0.34,8.09,68.23,5.933,8.18,5.946,5.947,
0.100,21.351,0.132,0.254,276.711,998.018,-1.982,3.16,3.16,139.07,67.69,5.970,8.11,5.983,5.983,
0.200,21.386,0.141,0.271,294.107,998.017,-1.983,4.18,4.18,104.80,63.75,5.621,8.10,5.633,5.634,
0.300,21.408,0.139,0.268,290.725,998.012,-1.989,5.75,5.75,81.43,68.30,6.021,8.09,6.034,6.035,
0.400,21.412,0.138,0.265,288.203,998.011,-1.991,5.89,5.89,75.53,68.17,6.010,8.09,6.023,6.023,
0.500,21.412,0.144,0.277,300.645,998.015,-1.987,5.61,5.61,73.72,65.85,5.806,8.10,5.818,5.819,
0.600,21.410,0.144,0.278,301.790,998.017,-1.986,5.09,5.09,72.27,73.32,6.464,8.09,6.478,6.478,
0.700,21.395,0.136,0.263,285.170,998.015,-1.989,4.54,4.54,69.84,66.00,5.820,8.12,5.833,5.833,
0.800,21.392,0.145,0.280,304.564,998.023,-1.981,4.79,4.79,69.29,71.89,6.340,8.11,6.354,6.354,
0.900,21.392,0.146,0.281,305.597,998.023,-1.981,4.77,4.77,70.94,69.88,6.162,8.10,6.176,6.176,
1.000,21.394,0.142,0.275,298.185,998.021,-1.984,4.71,4.71,70.42,69.22,6.104,8.09,6.117,6.118,
1.100,21.401,0.140,0.271,293.970,998.018,-1.987,4.67,4.67,69.18,68.57,6.047,8.10,6.060,6.060,
1.200,21.408,0.137,0.265,287.489,998.015,-1.991,4.58,4.58,67.09,64.87,5.720,8.10,5.732,5.732,
1.300,21.411,0.137,0.264,286.791,998.014,-1.992,4.58,4.58,67.23,62.32,5.494,8.11,5.506,5.506,
1.400,21.413,0.133,0.257,278.858,998.011,-1.995,4.56,4.56,67.81,63.50,5.598,8.10,5.611,5.611,
1.500,21.413,0.131,0.253,274.637,998.010,-1.996,4.56,4.56,68.22,60.96,5.375,8.09,5.387,5.387,
1.600,21.400,0.130,0.251,272.112,998.013,-1.995,4.52,4.52,68.35,68.08,6.003,8.10,6.016,6.017,
1.700,21.389,0.128,0.246,267.111,998.014,-1.994,4.54,4.54,69.65,76.44,6.742,8.09,6.757,6.757,
1.800,21.381,0.127,0.245,266.639,998.016,-1.992,4.55,4.55,70.80,69.59,6.139,8.09,6.152,6.153,
1.900,21.377,0.128,0.246,267.740,998.017,-1.991,4.53,4.53,72.51,65.71,5.796,8.10,5.809,5.809,
2.000,21.376,0.129,0.248,268.951,998.019,-1.990,4.48,4.48,68.94,64.42,5.683,8.09,5.695,5.695,
2.100,21.372,0.135,0.261,283.157,998.025,-1.984,4.46,4.46,67.53,65.98,5.820,8.10,5.833,5.833,
2.200,21.370,0.152,0.292,317.876,998.039,-1.971,4.54,4.54,69.82,66.62,5.877,8.10,5.889,5.890,
2.300,21.370,0.223,0.428,464.860,998.093,-1.917,4.61,4.61,69.52,67.22,5.928,8.09,5.941,5.941,
2.400,21.369,0.217,0.418,453.895,998.090,-1.921,4.61,4.61,69.45,66.97,5.905,8.10,5.918,5.918,
2.500,21.369,0.218,0.419,455.479,998.091,-1.921,4.60,4.60,69.21,74.71,6.588,8.10,6.603,6.603,
2.600,21.370,0.207,0.398,432.026,998.082,-1.929,4.60,4.60,70.21,68.28,6.021,8.09,6.034,6.034,
2.700,21.370,0.185,0.357,387.575,998.066,-1.946,4.56,4.56,69.51,71.69,6.323,8.11,6.336,6.337,
2.800,21.377,0.246,0.471,511.951,998.111,-1.901,4.71,4.71,71.67,67.37,5.939,8.09,5.952,5.953,
2.900,21.377,0.266,0.509,553.540,998.127,-1.886,4.72,4.72,71.36,68.43,6.032,8.11,6.045,6.045,
