Depth [m],Temp. [deg C],Sal. [ ],Cond. [mS/cm],EC25 [uS/cm],Density [kg/m^3],SigmaT [ ],Chl-Flu. [ppb],Chl-a [ug/l],Turb-M [FTU],DO [%],Weiss-DO [mg/l],Batt. [V],G&G-DO [mg/l],B&K-DO [mg/l],
0.000,20.271,0.011,0.004,3.950,998.157,-1.843,0.21,0.21,8.54,65.29,5.987,8.31,5.999,5.999,
0.100,21.274,0.110,0.210,229.049,998.018,-1.982,2.66,2.66,65.78,70.97,6.324,8.22,6.337,6.337,
0.200,21.426,0.120,0.230,250.038,997.993,-2.008,5.18,5.18,69.45,75.56,6.707,8.23,6.721,6.722,
0.300,21.460,0.141,0.272,294.671,998.002,-2.000,5.46,5.46,71.34,73.10,6.481,8.23,6.495,6.495,
0.400,21.471,0.144,0.278,300.996,998.002,-2.000,5.06,5.06,68.07,75.49,6.684,8.23,6.698,6.698,
0.500,21.473,0.144,0.278,301.147,998.002,-2.000,4.87,4.87,66.48,71.19,6.301,8.23,6.315,6.315,
0.600,21.472,0.144,0.278,300.944,998.003,-2.000,4.68,4.68,64.70,64.47,5.705,8.23,5.717,5.718,
0.700,21.469,0.144,0.278,301.101,998.004,-1.999,4.60,4.60,65.39,69.33,6.133,8.23,6.146,6.146,
0.800,21.472,0.144,0.278,301.277,998.004,-2.000,4.56,4.56,68.57,72.71,6.433,8.22,6.447,6.447,
0.900,21.472,0.144,0.278,300.948,998.004,-2.000,4.55,4.55,70.40,71.35,6.314,8.23,6.328,6.328,
1.000,21.473,0.142,0.273,296.397,998.003,-2.002,4.58,4.58,70.21,67.88,6.010,8.23,6.023,6.023,
1.100,21.472,0.146,0.282,305.401,998.007,-1.998,4.54,4.54,67.69,72.61,6.427,8.22,6.441,6.441,
1.200,21.471,0.146,0.282,306.197,998.008,-1.998,4.52,4.52,67.85,69.84,6.178,8.22,6.192,6.192,
1.300,21.470,0.146,0.282,305.375,998.008,-1.998,4.48,4.48,65.83,66.80,5.907,8.23,5.920,5.920,
1.400,21.471,0.147,0.283,307.038,998.009,-1.997,4.46,4.46,66.09,68.82,6.085,8.23,6.099,6.099,
1.500,21.470,0.147,0.283,306.659,998.009,-1.997,4.49,4.49,67.58,72.72,6.429,8.23,6.443,6.443,
1.600,21.470,0.146,0.281,304.987,998.009,-1.998,4.50,4.50,67.89,76.44,6.757,8.23,6.771,6.772,
1.700,21.470,0.146,0.282,305.535,998.010,-1.998,4.50,4.50,67.89,71.57,6.325,8.23,6.338,6.339,
1.800,21.470,0.146,0.282,305.273,998.010,-1.998,4.50,4.50,67.74,69.98,6.183,8.22,6.196,6.196,
1.900,21.471,0.145,0.279,302.693,998.009,-1.999,4.53,4.53,68.50,64.88,5.731,8.22,5.743,5.744,
2.000,21.472,0.145,0.279,302.636,998.010,-1.999,4.51,4.51,68.44,70.16,6.197,8.23,6.210,6.211,
2.100,21.471,0.149,0.287,311.644,998.014,-1.996,4.51,4.51,68.14,65.88,5.819,8.22,5.831,5.832,
2.200,21.469,0.151,0.292,316.151,998.016,-1.994,4.50,4.50,67.28,63.49,5.608,8.23,5.620,5.620,
2.300,21.454,0.181,0.350,379.171,998.043,-1.968,4.52,4.52,66.83,69.60,6.147,8.23,6.161,6.161,
2.400,21.435,0.197,0.380,412.357,998.060,-1.951,4.57,4.57,66.66,67.04,5.922,8.23,5.935,5.935,
2.500,21.418,0.219,0.421,456.484,998.080,-1.931,4.57,4.57,65.62,67.99,6.007,8.23,6.020,6.020,
2.600,21.407,0.226,0.434,471.052,998.089,-1.923,4.60,4.60,66.48,72.76,6.428,8.22,6.442,6.443,
2.700,21.400,0.232,0.445,483.514,998.095,-1.917,4.62,4.62,66.48,76.56,6.766,8.22,6.781,6.781,
2.800,21.395,0.251,0.482,523.108,998.112,-1.901,4.58,4.58,64.96,72.88,6.443,8.23,6.457,6.457,
2.900,21.395,0.267,0.511,555.150,998.124,-1.889,4.58,4.58,63.90,72.83,6.439,8.22,6.453,6.453,
3.000,21.396,0.265,0.507,550.871,998.122,-1.891,4.55,4.55,63.60,67.44,5.962,8.23,5.975,5.976,
3.100,21.396,0.273,0.523,568.014,998.129,-1.885,4.64,4.64,66.73,68.97,6.098,8.23,6.111,6.112,
3.200,21.399,0.281,0.537,582.942,998.135,-1.879,4.68,4.68,69.45,69.57,6.148,8.23,6.162,6.162,
3.300,21.401,0.301,0.575,624.071,998.150,-1.864,4.72,4.72,71.45,66.31,5.859,8.22,5.871,5.871,
3.400,21.402,0.319,0.609,661.542,998.165,-1.851,4.73,4.73,71.94,69.10,6.104,8.23,6.117,6.117,
3.500,21.405,0.327,0.624,677.353,998.170,-1.845,4.71,4.71,71.05,76.13,6.724,8.23,6.738,6.739,
3.600,21.406,0.321,0.612,665.020,998.166,-1.850,4.69,4.69,71.20,74.78,6.602,8.23,6.617,6.617,
3.700,21.407,0.351,0.667,724.187,998.189,-1.828,4.67,4.67,70.76,78.58,6.937,8.22,6.952,6.952,
3.800,21.400,0.462,0.871,945.611,998.275,-1.742,4.65,4.65,69.21,79.34,7.000,8.23,7.016,7.016,
3.900,21.392,0.493,0.927,1007.444,998.301,-1.716,4.65,4.65,69.71,76.45,6.743,8.22,6.758,6.758,
4.000,21.353,0.899,1.648,1791.651,998.619,-1.399,4.61,4.61,67.49,67.13,5.910,8.22,5.923,5.923,
4.100,21.329,1.011,1.842,2004.257,998.710,-1.308,4.57,4.57,66.42,68.18,6.002,8.22,6.015,6.015,
4.200,21.311,1.133,2.052,2233.015,998.807,-1.212,4.54,4.54,65.73,67.03,5.899,8.23,5.911,5.912,
4.300,21.299,1.123,2.033,2213.514,998.802,-1.217,4.53,4.53,64.86,69.95,6.157,8.23,6.171,6.171,
4.400,21.292,1.180,2.132,2321.115,998.848,-1.172,4.54,4.54,64.35,73.35,6.457,8.23,6.471,6.471,
4.500,21.286,1.246,2.245,2444.528,998.900,-1.120,4.54,4.54,64.46,70.13,6.171,8.23,6.185,6.185,
4.600,21.279,1.316,2.363,2574.130,998.955,-1.066,4.55,4.55,65.01,70.66,6.216,8.22,6.230,6.230,
4.700,21.271,1.338,2.402,2616.202,998.974,-1.047,4.56,4.56,64.20,66.30,5.833,8.23,5.846,5.846,
4.800,21.270,1.340,2.405,2620.067,998.976,-1.045,4.56,4.56,64.51,76.41,6.722,8.23,6.737,6.737,
4.900,21.270,1.303,2.341,2550.153,998.948,-1.074,4.54,4.54,65.23,77.28,6.801,8.24,6.816,6.816,
5.000,21.271,1.321,2.372,2583.471,998.962,-1.060,4.54,4.54,65.89,80.44,7.079,8.22,7.094,7.094,
5.100,21.271,1.373,2.460,2680.332,999.002,-1.021,4.53,4.53,65.78,79.97,7.035,8.22,7.051,7.051,
5.200,21.274,1.373,2.461,2680.962,999.002,-1.021,4.55,4.55,65.09,76.53,6.733,8.23,6.748,6.748,
5.300,21.272,1.420,2.540,2766.638,999.038,-0.985,4.54,4.54,65.03,74.13,6.520,8.23,6.534,6.535,
5.400,21.266,1.425,2.549,2777.411,999.044,-0.980,4.56,4.56,65.86,73.79,6.490,8.23,6.504,6.504,
5.500,21.262,1.461,2.608,2842.099,999.072,-0.952,4.51,4.51,63.70,72.97,6.418,8.22,6.432,6.432,
5.600,21.267,1.418,2.536,2763.036,999.039,-0.986,4.54,4.54,66.42,68.95,6.064,8.23,6.077,6.077,
5.700,21.263,1.632,2.898,3157.430,999.203,-0.822,4.53,4.53,65.70,67.96,5.969,8.23,5.982,5.982,
