//Infinity SDlogger
//Ver0.26
[Head]
SondeName=ASTD102-ALC-R02
SondeNo=0199
SensorType=D0D1T1C1C2K0U3O0TOB0
Channel=10
DelayTime=0
PreHeat=5000
MeasMode=2
BurstTime=1
BurstCnt=1
Interval=100
SampleCnt=182       
StartTime=2019/11/05 18:15:54
EndTime=2019/11/05 18:18:11
DepAdjRho=1.0000
ECA=0
ECB=1
ECDeg=25
ECCoef=0.022
CHLA=0
CHLB=1
CoefDate=2012/12/21 8:52:01
Ch1=-3.09483300e-01,1.010723000e-04,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch2=0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch3=-5.583644e+00,+1.069276e-03,-1.253192e-08,+2.870215e-13,-3.440319e-18,+2.475291e-23,+0.000000e+00,+0.000000e+00,
Ch4=-6.404070e-03,+3.820356e+01,-4.291268e-02,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch5=0.000000000e00,1.0000000000000,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch6=-4.421561,6.771150e-3,0.00000000E+00,0.00000000E+00,0.00000000E+00,0.00000000E+00,0.00000000E+00,0.00000000E+00,
Ch7=-9.731543,1.489893e-2,7.630155e-8,1.074271e-15,0.00000000E+00,0.00000000E+00,0.00000000E+00,0.00000000E+00,
Ch8=-4.44839700e01,2.466375000e06,-5.37886700e03,1.060000000e-02,4.400000000e-03,0.000000000e00,-2.10696761e-01,1.0033179056369,
Ch9=-5.308774e+00,+1.028638e-03,-8.434001e-09,+1.100968e-13,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch10=0.000000000e00,3.484000000e-03,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
BuzzerEN=0
BuzzerInterval=1
COMMENT= 
SensorType2=06070303000202020302
BuzzerNumber=1
DepM=0.1
CondDepB=0
FilmNo=122201A
[Item]
Depth [m],Temp. [deg C],Sal. [ ],Cond. [mS/cm],EC25 [uS/cm],Density [kg/m^3],SigmaT [ ],Chl-Flu. [ppb],Chl-a [ug/l],Turb-M [FTU],DO [%],Weiss-DO [mg/l],Batt. [V],G&G-DO [mg/l],B&K-DO [mg/l],
0.000,20.103,0.013,0.011,12.092,998.194,-1.806,0.24,0.24,8.83,66.37,5.978,8.22,5.990,5.991,
0.100,21.201,0.143,0.275,299.624,998.060,-1.941,4.56,4.56,69.46,66.27,5.909,8.16,5.922,5.922,
0.200,21.326,0.141,0.272,296.116,998.031,-1.969,5.04,5.04,70.97,68.55,6.103,8.15,6.116,6.116,
0.300,21.410,0.144,0.278,301.780,998.015,-1.986,5.76,5.76,71.00,67.96,6.034,8.15,6.046,6.047,
0.400,21.430,0.147,0.284,307.882,998.014,-1.988,5.50,5.50,68.39,68.84,6.103,8.15,6.116,6.116,
0.500,21.437,0.146,0.281,305.261,998.012,-1.991,5.06,5.06,69.16,69.34,6.141,8.16,6.154,6.154,
0.600,21.438,0.146,0.281,305.104,998.012,-1.991,4.94,4.94,68.76,71.98,6.372,8.15,6.386,6.386,
0.700,21.438,0.145,0.280,303.935,998.012,-1.991,4.92,4.92,70.83,70.63,6.249,8.15,6.263,6.263,
0.800,21.439,0.145,0.280,303.339,998.012,-1.992,4.84,4.84,69.60,60.91,5.388,8.15,5.399,5.400,
0.900,21.440,0.145,0.279,302.752,998.012,-1.992,4.66,4.66,66.25,67.93,6.007,8.14,6.020,6.020,
1.000,21.440,0.145,0.280,303.534,998.012,-1.992,4.61,4.61,66.09,63.62,5.625,8.14,5.637,5.637,
1.100,21.442,0.145,0.279,303.114,998.012,-1.993,4.48,4.48,63.43,68.01,6.010,8.15,6.024,6.024,
1.200,21.441,0.145,0.280,303.789,998.013,-1.992,4.44,4.44,63.32,66.68,5.892,8.15,5.904,5.905,
1.300,21.441,0.146,0.281,304.572,998.014,-1.992,4.48,4.48,64.90,70.21,6.202,8.15,6.216,6.216,
1.400,21.438,0.146,0.282,305.698,998.016,-1.991,4.52,4.52,69.76,66.31,5.859,8.16,5.871,5.871,
1.500,21.436,0.146,0.282,306.116,998.017,-1.990,4.55,4.55,71.06,67.59,5.972,8.15,5.984,5.985,
1.600,21.434,0.147,0.284,308.108,998.018,-1.989,4.58,4.58,71.77,66.05,5.836,8.15,5.849,5.849,
1.700,21.432,0.147,0.284,308.044,998.019,-1.989,4.59,4.59,71.58,69.18,6.113,8.16,6.126,6.127,
1.800,21.431,0.148,0.285,309.374,998.020,-1.988,4.55,4.55,70.21,60.99,5.389,8.15,5.401,5.401,
