Depth [m],Temp. [deg C],Sal. [ ],Cond. [mS/cm],EC25 [uS/cm],Density [kg/m^3],SigmaT [ ],Chl-Flu. [ppb],Chl-a [ug/l],Turb-M [FTU],DO [%],Weiss-DO [mg/l],Batt. [V],G&G-DO [mg/l],B&K-DO [mg/l],
10.300,21.175,1.348,2.413,2634.386,999.027,-1.019,4.57,4.57,66.89,71.29,6.267,8.11,6.281,6.281,
10.400,21.166,1.393,2.490,2719.007,999.064,-0.982,4.53,4.53,66.44,71.79,6.312,8.14,6.325,6.326,
10.500,21.164,1.408,2.514,2745.748,999.076,-0.971,4.51,4.51,65.11,69.71,6.128,8.11,6.141,6.141,
10.600,21.158,1.474,2.625,2866.910,999.128,-0.919,4.53,4.53,65.12,65.46,5.752,8.12,5.765,5.765,
10.700,21.152,1.511,2.687,2935.187,999.158,-0.890,4.52,4.52,65.40,70.84,6.225,8.09,6.238,6.239,
10.800,21.151,1.519,2.701,2950.374,999.165,-0.884,4.53,4.53,65.36,67.13,5.899,8.12,5.912,5.912,
10.900,21.151,1.524,2.710,2960.523,999.169,-0.879,4.57,4.57,64.98,73.12,6.425,8.11,6.439,6.439,
11.000,21.150,1.528,2.717,2968.017,999.173,-0.876,4.54,4.54,64.98,69.57,6.113,8.11,6.126,6.126,
11.100,21.139,1.682,2.974,3250.093,999.293,-0.757,4.52,4.52,64.04,69.57,6.109,8.12,6.122,6.122,
11.200,21.126,1.767,3.114,3404.527,999.360,-0.690,4.60,4.60,63.76,64.42,5.655,8.12,5.667,5.668,
11.300,21.100,1.923,3.371,3687.561,999.485,-0.566,4.54,4.54,63.04,77.26,6.778,8.12,6.793,6.793,
11.400,21.082,2.047,3.575,3912.246,999.583,-0.468,4.54,4.54,62.01,73.68,6.461,8.11,6.475,6.476,
11.500,21.044,3.077,5.242,5741.431,1000.373,0.321,4.33,4.33,54.33,67.32,5.874,8.11,5.887,5.887,
11.600,20.996,3.646,6.139,6731.805,1000.815,0.763,4.20,4.20,50.14,69.16,6.022,8.12,6.035,6.035,
11.700,20.842,4.342,7.203,7928.119,1001.376,1.324,4.11,4.11,46.75,75.20,6.537,8.11,6.551,6.551,
11.800,20.741,5.115,8.374,9239.928,1001.984,1.931,4.08,4.08,44.69,76.83,6.660,8.11,6.674,6.674,
11.900,20.590,5.818,9.409,10420.219,1002.549,2.497,3.90,3.90,39.22,76.53,6.619,8.11,6.634,6.634,
12.000,20.471,7.063,11.236,12479.192,1003.518,3.465,3.82,3.82,37.97,72.47,6.232,8.12,6.246,6.245,
12.100,20.333,7.586,11.970,13339.888,1003.945,3.892,3.79,3.79,35.70,68.25,5.861,8.12,5.874,5.873,
12.200,20.303,7.749,12.200,13606.268,1004.076,4.022,3.80,3.80,35.79,69.48,5.967,8.11,5.980,5.980,
12.300,20.264,8.072,12.659,14131.107,1004.329,4.274,3.88,3.88,36.17,72.93,6.259,8.11,6.273,6.273,
12.400,20.257,8.117,12.723,14205.009,1004.365,4.310,3.83,3.83,35.84,73.22,6.284,8.11,6.298,6.298,
12.500,20.239,8.442,13.188,14730.864,1004.615,4.560,3.79,3.79,35.81,74.53,6.386,8.11,6.400,6.400,
12.600,20.219,8.572,13.370,14941.401,1004.719,4.663,3.79,3.79,35.81,76.72,6.572,8.12,6.586,6.586,
12.700,20.165,8.957,13.908,15562.961,1005.022,4.966,3.81,3.81,35.96,72.01,6.161,8.11,6.175,6.174,
12.800,20.146,10.309,15.826,17717.826,1006.049,5.992,3.78,3.78,35.53,75.62,6.425,8.11,6.439,6.439,
12.900,20.068,11.769,17.848,20020.160,1007.171,7.114,3.86,3.86,35.47,75.02,6.323,8.11,6.337,6.337,
13.000,19.945,12.347,18.603,20930.886,1007.637,7.580,3.70,3.70,33.60,70.42,5.919,8.11,5.932,5.932,
13.100,19.876,14.629,21.701,24458.098,1009.380,9.322,3.60,3.60,33.01,75.32,6.259,8.11,6.273,6.272,
13.200,19.711,15.164,22.347,25289.682,1009.824,9.766,3.44,3.44,31.31,79.71,6.627,8.11,6.641,6.641,
13.300,19.500,16.329,23.803,27079.036,1010.755,10.696,3.35,3.35,29.90,70.59,5.850,8.12,5.863,5.862,
13.400,19.425,16.765,24.344,27746.826,1011.103,11.045,3.34,3.34,29.12,73.63,6.095,8.11,6.109,6.108,
13.500,19.352,17.298,25.009,28557.516,1011.524,11.465,3.26,3.26,29.19,77.65,6.417,8.11,6.431,6.431,
13.600,19.222,18.599,26.643,30523.182,1012.541,12.482,3.17,3.17,30.19,72.13,5.927,8.11,5.940,5.939,
13.700,19.099,20.242,28.700,32982.472,1013.818,13.757,3.04,3.04,30.99,68.93,5.615,8.10,5.627,5.627,
13.800,18.569,26.497,36.207,42174.253,1018.699,18.639,3.21,3.21,47.49,70.18,5.541,8.11,5.552,5.552,
