Depth [m],Temp. [deg C],Sal. [ ],Cond. [mS/cm],EC25 [uS/cm],Density [kg/m^3],SigmaT [ ],Chl-Flu. [ppb],Chl-a [ug/l],Turb-M [FTU],DO [%],Weiss-DO [mg/l],Batt. [V],G&G-DO [mg/l],B&K-DO [mg/l],
0.000,22.874,0.012,0.006,6.206,997.579,-2.421,-1.54,-1.54,6.70,68.93,6.180,8.22,6.193,6.193,
0.100,21.311,0.100,0.192,208.835,998.003,-1.998,3.05,3.05,65.15,65.99,5.852,8.16,5.864,5.865,
0.200,21.289,0.117,0.224,243.709,998.021,-1.980,5.94,5.94,67.39,68.53,6.068,8.16,6.081,6.082,
0.300,21.290,0.116,0.223,242.733,998.021,-1.981,5.36,5.36,67.03,76.41,6.765,8.17,6.780,6.780,
0.400,21.287,0.116,0.223,242.331,998.021,-1.980,6.18,6.18,72.60,67.21,5.950,8.16,5.963,5.963,
0.500,21.288,0.116,0.222,241.888,998.022,-1.981,6.05,6.05,70.12,65.56,5.803,8.17,5.815,5.816,
0.600,21.287,0.116,0.222,242.168,998.022,-1.980,5.37,5.37,67.50,66.11,5.851,8.16,5.864,5.864,
0.700,21.287,0.116,0.222,242.058,998.023,-1.981,5.25,5.25,67.96,62.45,5.528,8.17,5.539,5.540,
0.800,21.283,0.116,0.222,241.818,998.024,-1.980,5.06,5.06,69.43,73.23,6.481,8.16,6.495,6.495,
0.900,21.278,0.116,0.222,241.939,998.026,-1.979,4.94,4.94,70.25,71.67,6.343,8.17,6.356,6.357,
1.000,21.272,0.116,0.222,241.925,998.027,-1.977,4.83,4.83,69.88,72.84,6.446,8.16,6.460,6.460,
1.100,21.269,0.116,0.222,242.137,998.029,-1.976,4.76,4.76,67.34,70.45,6.235,8.17,6.248,6.249,
1.200,21.267,0.116,0.222,241.940,998.029,-1.976,4.64,4.64,63.43,76.41,6.763,8.17,6.778,6.778,
1.300,21.260,0.116,0.222,242.024,998.031,-1.975,4.65,4.65,64.07,72.50,6.416,8.16,6.430,6.430,
1.400,21.255,0.116,0.222,241.868,998.033,-1.973,4.67,4.67,63.96,72.61,6.426,8.17,6.440,6.440,
1.500,21.222,0.116,0.221,241.479,998.040,-1.966,4.72,4.72,66.33,73.92,6.543,8.16,6.557,6.557,
1.600,21.241,0.115,0.221,241.278,998.036,-1.971,4.69,4.69,63.89,67.64,5.989,8.17,6.001,6.002,
1.700,21.243,0.115,0.221,241.066,998.036,-1.971,4.69,4.69,65.29,75.13,6.650,8.17,6.665,6.665,
1.800,21.241,0.115,0.221,241.041,998.037,-1.971,4.74,4.74,67.39,70.03,6.199,8.17,6.212,6.213,
1.900,21.229,0.115,0.220,240.431,998.040,-1.968,4.87,4.87,70.76,66.90,5.922,8.16,5.935,5.935,
2.000,21.209,0.115,0.221,240.946,998.045,-1.964,4.88,4.88,71.49,66.01,5.845,8.17,5.858,5.858,
2.100,21.228,0.115,0.221,240.900,998.041,-1.968,4.84,4.84,71.14,62.64,5.546,8.16,5.558,5.558,
2.200,21.234,0.115,0.221,241.336,998.041,-1.969,4.85,4.85,71.96,65.31,5.781,8.17,5.794,5.794,
2.300,21.248,0.115,0.221,240.751,998.038,-1.972,4.87,4.87,71.33,69.08,6.114,8.17,6.127,6.128,
2.400,21.218,0.114,0.219,238.929,998.044,-1.966,4.92,4.92,70.59,64.50,5.710,8.16,5.723,5.723,
2.500,21.174,0.114,0.217,237.261,998.054,-1.957,4.94,4.94,70.34,67.44,5.972,8.17,5.985,5.986,
2.600,21.145,0.114,0.219,238.849,998.061,-1.951,4.90,4.90,70.76,66.66,5.907,8.18,5.920,5.920,
2.700,21.143,0.114,0.218,238.398,998.062,-1.950,4.94,4.94,70.80,70.22,6.223,8.17,6.237,6.237,
2.800,21.135,0.114,0.218,238.747,998.064,-1.948,4.90,4.90,69.81,74.69,6.621,8.17,6.635,6.636,
2.900,21.141,0.114,0.219,239.131,998.063,-1.950,4.89,4.89,69.24,59.90,5.311,8.16,5.322,5.322,
3.000,21.135,0.114,0.218,238.328,998.065,-1.948,4.91,4.91,68.43,68.11,6.039,8.17,6.052,6.052,
3.100,21.130,0.114,0.217,237.243,998.066,-1.948,4.92,4.92,67.55,63.83,5.660,8.17,5.673,5.673,
3.200,21.114,0.112,0.215,234.911,998.069,-1.945,4.97,4.97,68.38,65.55,5.814,8.16,5.826,5.827,
3.300,21.106,0.112,0.214,233.837,998.071,-1.944,5.02,5.02,71.19,65.41,5.803,8.16,5.815,5.815,
3.400,21.105,0.112,0.214,234.115,998.072,-1.943,5.04,5.04,71.39,73.81,6.548,8.16,6.562,6.563,
3.500,21.105,0.112,0.214,233.651,998.072,-1.944,5.04,5.04,71.22,71.53,6.346,8.16,6.360,6.360,
