//Infinity SDlogger
//Ver0.26
[Head]
SondeName=ASTD102-ALC-R02
SondeNo=0199
SensorType=D0D1T1C1C2K0U3O0TOB0
Channel=10
DelayTime=0
PreHeat=5000
MeasMode=2
BurstTime=1
BurstCnt=1
Interval=100
SampleCnt=181       
StartTime=2019/11/05 15:10:25
EndTime=2019/11/05 15:12:53
DepAdjRho=1.0000
ECA=0
ECB=1
ECDeg=25
ECCoef=0.022
CHLA=0
CHLB=1
CoefDate=2012/12/21 8:52:01
Ch1=-3.09483300e-01,1.010723000e-04,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch2=0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch3=-5.583644e+00,+1.069276e-03,-1.253192e-08,+2.870215e-13,-3.440319e-18,+2.475291e-23,+0.000000e+00,+0.000000e+00,
Ch4=-6.404070e-03,+3.820356e+01,-4.291268e-02,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch5=0.000000000e00,1.0000000000000,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch6=-4.421561,6.771150e-3,0.00000000E+00,0.00000000E+00,0.00000000E+00,0.00000000E+00,0.00000000E+00,0.00000000E+00,
Ch7=-9.731543,1.489893e-2,7.630155e-8,1.074271e-15,0.00000000E+00,0.00000000E+00,0.00000000E+00,0.00000000E+00,
Ch8=-4.44839700e01,2.466375000e06,-5.37886700e03,1.060000000e-02,4.400000000e-03,0.000000000e00,-2.10696761e-01,1.0033179056369,
Ch9=-5.308774e+00,+1.028638e-03,-8.434001e-09,+1.100968e-13,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch10=0.000000000e00,3.484000000e-03,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
BuzzerEN=0
BuzzerInterval=1
COMMENT= 
SensorType2=06070303000202020302
BuzzerNumber=1
DepM=0.1
CondDepB=0
FilmNo=122201A
[Item]
Depth [m],Temp. [deg C],Sal. [ ],Cond. [mS/cm],EC25 [uS/cm],Density [kg/m^3],SigmaT [ ],Chl-Flu. [ppb],Chl-a [ug/l],Turb-M [FTU],DO [%],Weiss-DO [mg/l],Batt. [V],G&G-DO [mg/l],B&K-DO [mg/l],
3.100,21.143,0.117,0.224,244.960,998.066,-1.948,4.91,4.91,73.53,73.67,6.531,8.13,6.545,6.545,
3.200,21.142,0.116,0.222,243.047,998.066,-1.948,4.88,4.88,73.06,64.27,5.698,8.12,5.710,5.710,
3.300,21.141,0.116,0.222,242.367,998.066,-1.948,4.89,4.89,73.95,59.66,5.290,8.11,5.301,5.301,
3.400,21.139,0.117,0.224,244.311,998.068,-1.947,4.90,4.90,76.06,66.56,5.902,8.12,5.914,5.915,
3.500,21.142,0.116,0.222,242.778,998.067,-1.948,4.93,4.93,77.03,71.42,6.333,8.14,6.346,6.347,
3.600,21.143,0.118,0.226,246.801,998.069,-1.947,4.93,4.93,76.63,65.46,5.804,8.13,5.816,5.817,
3.700,21.136,0.117,0.224,245.007,998.070,-1.946,4.92,4.92,76.65,62.86,5.574,8.13,5.586,5.587,
3.800,21.134,0.118,0.226,246.668,998.072,-1.945,4.92,4.92,77.36,65.78,5.834,8.12,5.846,5.846,
3.900,21.130,0.118,0.226,246.509,998.073,-1.945,4.90,4.90,76.93,70.74,6.273,8.12,6.287,6.287,
4.000,21.127,0.120,0.230,250.924,998.076,-1.942,4.91,4.91,76.54,69.28,6.145,8.11,6.158,6.158,
4.100,21.108,0.126,0.242,264.731,998.085,-1.933,4.92,4.92,75.70,59.79,5.304,8.12,5.316,5.316,
4.200,21.102,0.125,0.240,261.971,998.086,-1.933,4.92,4.92,73.92,75.31,6.682,8.12,6.696,6.696,
4.300,21.116,0.121,0.231,252.257,998.080,-1.939,4.79,4.79,65.92,71.91,6.379,8.12,6.393,6.393,
4.400,21.121,0.121,0.232,253.324,998.080,-1.940,4.87,4.87,68.35,73.81,6.548,8.12,6.562,6.562,
4.500,21.124,0.121,0.232,254.026,998.080,-1.940,4.91,4.91,72.49,78.74,6.985,8.12,7.000,7.001,
4.600,21.121,0.123,0.235,256.614,998.082,-1.939,4.93,4.93,74.73,71.64,6.355,8.12,6.368,6.369,
4.700,21.116,0.124,0.238,259.941,998.084,-1.937,4.94,4.94,75.61,65.00,5.767,8.12,5.779,5.779,
4.800,21.100,0.138,0.265,289.559,998.099,-1.922,4.99,4.99,77.34,62.99,5.588,8.14,5.600,5.600,
4.900,21.092,0.139,0.267,291.734,998.102,-1.920,5.00,5.00,78.07,62.41,5.538,8.12,5.550,5.550,
