Depth [m],Temp. [deg C],Sal. [ ],Cond. [mS/cm],EC25 [uS/cm],Density [kg/m^3],SigmaT [ ],Chl-Flu. [ppb],Chl-a [ug/l],Turb-M [FTU],DO [%],Weiss-DO [mg/l],Batt. [V],G&G-DO [mg/l],B&K-DO [mg/l],
0.000,19.872,0.012,0.007,7.518,998.241,-1.759,0.42,0.42,8.26,71.12,6.491,8.19,6.504,6.504,
0.100,20.946,0.097,0.184,201.639,998.080,-1.921,6.17,6.17,84.58,71.08,6.359,8.07,6.372,6.372,
0.200,20.918,0.105,0.199,218.393,998.092,-1.909,11.07,11.07,102.44,75.07,6.684,8.09,6.698,6.698,
0.300,20.996,0.105,0.199,218.176,998.076,-1.926,9.11,9.11,95.76,77.92,6.933,8.09,6.947,6.948,
0.400,21.032,0.105,0.199,218.441,998.069,-1.933,7.65,7.65,95.05,80.21,7.135,8.09,7.150,7.151,
0.500,21.049,0.105,0.199,218.451,998.065,-1.937,6.72,6.72,104.75,73.55,6.541,8.11,6.555,6.555,
0.600,21.057,0.105,0.199,218.323,998.064,-1.939,6.01,6.01,90.57,70.98,6.312,8.09,6.325,6.326,
0.700,21.061,0.105,0.200,218.785,998.064,-1.939,5.61,5.61,83.91,72.29,6.429,8.09,6.442,6.443,
0.800,21.062,0.105,0.200,218.753,998.064,-1.940,5.40,5.40,80.73,73.10,6.500,8.09,6.514,6.514,
0.900,21.063,0.105,0.199,218.373,998.064,-1.940,5.23,5.23,78.41,70.25,6.248,8.10,6.261,6.261,
1.000,21.064,0.104,0.199,217.927,998.064,-1.940,5.14,5.14,76.84,70.28,6.251,8.09,6.264,6.264,
1.100,21.063,0.105,0.200,218.936,998.065,-1.940,5.11,5.11,79.68,67.16,5.975,8.09,5.988,5.988,
1.200,21.064,0.105,0.200,219.402,998.066,-1.940,5.09,5.09,78.82,68.14,6.063,8.08,6.076,6.076,
1.300,21.064,0.105,0.200,219.476,998.066,-1.940,5.04,5.04,75.56,69.15,6.153,8.09,6.166,6.166,
1.400,21.064,0.105,0.200,218.515,998.066,-1.940,5.10,5.10,79.49,68.77,6.119,8.09,6.132,6.132,
1.500,21.063,0.104,0.199,217.491,998.066,-1.940,5.06,5.06,76.54,72.15,6.419,8.09,6.432,6.433,
1.600,21.064,0.104,0.198,216.314,998.066,-1.941,5.04,5.04,75.75,67.36,5.992,8.09,6.005,6.005,
1.700,21.064,0.104,0.198,216.821,998.067,-1.941,5.02,5.02,74.55,71.75,6.383,8.08,6.396,6.397,
1.800,21.064,0.104,0.198,216.994,998.067,-1.941,5.00,5.00,73.86,80.67,7.177,8.09,7.192,7.192,
1.900,21.064,0.104,0.198,216.680,998.068,-1.941,4.99,4.99,73.20,78.24,6.960,8.09,6.975,6.975,
2.000,21.064,0.104,0.198,216.486,998.068,-1.941,4.96,4.96,71.99,74.22,6.602,8.09,6.616,6.616,
2.100,21.065,0.104,0.198,216.792,998.069,-1.941,4.94,4.94,70.89,73.94,6.577,8.08,6.591,6.591,
2.200,21.065,0.104,0.198,216.717,998.069,-1.941,4.92,4.92,70.80,67.78,6.028,8.09,6.041,6.041,
2.300,21.064,0.104,0.198,216.478,998.069,-1.941,4.93,4.93,71.41,66.31,5.898,8.09,5.910,5.911,
2.400,21.064,0.104,0.197,216.139,998.070,-1.941,4.92,4.92,71.11,70.42,6.262,8.09,6.276,6.276,
2.500,21.064,0.104,0.197,216.021,998.070,-1.941,4.90,4.90,71.00,66.97,5.955,8.09,5.968,5.968,
2.600,21.064,0.104,0.197,216.035,998.071,-1.941,4.91,4.91,71.09,67.32,5.987,8.09,5.999,6.000,
2.700,21.064,0.103,0.197,215.576,998.071,-1.941,4.94,4.94,71.75,71.46,6.354,8.08,6.368,6.368,
2.800,21.063,0.103,0.196,214.951,998.071,-1.941,4.95,4.95,71.63,71.29,6.340,8.09,6.353,6.354,
