//Infinity SDlogger
//Ver0.26
[Head]
SondeName=ASTD102-ALC-R02
SondeNo=0199
SensorType=D0D1T1C1C2K0U3O0TOB0
Channel=10
DelayTime=0
PreHeat=5000
MeasMode=2
BurstTime=1
BurstCnt=1
Interval=100
SampleCnt=175       
StartTime=2019/11/05 12:42:51
EndTime=2019/11/05 12:45:21
DepAdjRho=1.0000
ECA=0
ECB=1
ECDeg=25
ECCoef=0.022
CHLA=0
CHLB=1
CoefDate=2012/12/21 8:52:01
Ch1=-3.09483300e-01,1.010723000e-04,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch2=0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch3=-5.583644e+00,+1.069276e-03,-1.253192e-08,+2.870215e-13,-3.440319e-18,+2.475291e-23,+0.000000e+00,+0.000000e+00,
Ch4=-6.404070e-03,+3.820356e+01,-4.291268e-02,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch5=0.000000000e00,1.0000000000000,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch6=-4.421561,6.771150e-3,0.00000000E+00,0.00000000E+00,0.00000000E+00,0.00000000E+00,0.00000000E+00,0.00000000E+00,
Ch7=-9.731543,1.489893e-2,7.630155e-8,1.074271e-15,0.00000000E+00,0.00000000E+00,0.00000000E+00,0.00000000E+00,
Ch8=-4.44839700e01,2.466375000e06,-5.37886700e03,1.060000000e-02,4.400000000e-03,0.000000000e00,-2.10696761e-01,1.0033179056369,
Ch9=-5.308774e+00,+1.028638e-03,-8.434001e-09,+1.100968e-13,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch10=0.000000000e00,3.484000000e-03,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
BuzzerEN=0
BuzzerInterval=1
COMMENT= 
SensorType2=06070303000202020302
BuzzerNumber=1
DepM=0.1
CondDepB=0
FilmNo=122201A
[Item]
Depth [m],Temp. [deg C],Sal. [ ],Cond. [mS/cm],EC25 [uS/cm],Density [kg/m^3],SigmaT [ ],Chl-Flu. [ppb],Chl-a [ug/l],Turb-M [FTU],DO [%],Weiss-DO [mg/l],Batt. [V],G&G-DO [mg/l],B&K-DO [mg/l],
0.000,20.121,0.011,0.004,4.331,998.188,-1.812,0.47,0.47,8.05,70.39,6.351,8.25,6.364,6.365,
0.100,21.027,0.091,0.172,188.354,998.058,-1.943,5.47,5.47,75.56,69.16,6.157,8.17,6.170,6.170,
0.200,21.074,0.091,0.172,188.090,998.048,-1.953,5.80,5.80,68.05,69.10,6.147,8.18,6.160,6.160,
0.300,21.090,0.091,0.172,187.937,998.045,-1.957,6.43,6.43,68.14,74.75,6.648,8.17,6.663,6.663,
0.400,21.090,0.091,0.172,188.072,998.045,-1.957,5.48,5.48,63.70,69.82,6.208,8.18,6.221,6.222,
0.500,21.090,0.090,0.172,187.660,998.046,-1.957,5.71,5.71,67.08,67.66,6.016,8.18,6.028,6.029,
0.600,21.085,0.090,0.171,187.186,998.047,-1.956,5.76,5.76,68.25,74.24,6.600,8.17,6.614,6.614,
0.700,21.079,0.090,0.171,187.244,998.049,-1.954,5.63,5.63,66.37,77.38,6.878,8.16,6.892,6.893,
0.800,21.081,0.090,0.171,187.208,998.049,-1.955,5.55,5.55,66.37,69.09,6.140,8.17,6.153,6.154,
0.900,21.081,0.090,0.171,187.047,998.049,-1.955,5.56,5.56,68.63,64.68,5.749,8.17,5.761,5.761,
1.000,21.077,0.090,0.171,187.246,998.050,-1.954,5.50,5.50,70.58,72.27,6.424,8.17,6.438,6.438,
1.100,21.079,0.090,0.171,187.190,998.050,-1.955,5.39,5.39,68.07,63.04,5.603,8.17,5.615,5.615,
1.200,21.081,0.090,0.171,187.169,998.050,-1.955,5.38,5.38,67.03,69.63,6.189,8.17,6.202,6.202,
1.300,21.075,0.090,0.171,187.148,998.052,-1.954,5.24,5.24,63.51,65.11,5.788,8.17,5.801,5.801,
1.400,21.085,0.090,0.171,187.097,998.051,-1.956,5.25,5.25,63.81,66.08,5.874,8.18,5.887,5.887,
1.500,21.088,0.090,0.171,187.258,998.050,-1.956,5.40,5.40,67.88,62.19,5.528,8.17,5.539,5.540,
1.600,21.086,0.090,0.171,186.676,998.051,-1.956,5.43,5.43,69.63,68.96,6.129,8.17,6.142,6.142,
1.700,21.073,0.090,0.171,186.671,998.054,-1.953,5.45,5.45,70.89,71.08,6.315,8.17,6.329,6.329,
1.800,21.071,0.090,0.171,186.836,998.055,-1.953,5.46,5.46,71.69,72.06,6.403,8.16,6.416,6.417,
