Depth [m],Temp. [deg C],Sal. [ ],Cond. [mS/cm],EC25 [uS/cm],Density [kg/m^3],SigmaT [ ],Chl-Flu. [ppb],Chl-a [ug/l],Turb-M [FTU],DO [%],Weiss-DO [mg/l],Batt. [V],G&G-DO [mg/l],B&K-DO [mg/l],
7.800,20.968,0.095,0.180,197.363,998.108,-1.927,5.80,5.80,82.00,71.35,6.358,8.11,6.372,6.372,
7.900,20.967,0.095,0.180,197.382,998.109,-1.927,5.84,5.84,83.48,75.28,6.708,8.11,6.723,6.723,
8.000,20.967,0.095,0.179,196.927,998.109,-1.927,5.84,5.84,83.99,72.15,6.429,8.12,6.443,6.443,
8.100,20.968,0.095,0.180,196.982,998.109,-1.927,5.84,5.84,84.88,73.38,6.538,8.11,6.552,6.552,
8.200,20.968,0.095,0.180,197.104,998.110,-1.927,5.87,5.87,86.42,73.58,6.555,8.10,6.569,6.570,
8.300,20.969,0.095,0.179,196.915,998.110,-1.927,5.83,5.83,85.91,74.13,6.604,8.11,6.618,6.618,
8.400,20.969,0.095,0.179,196.814,998.110,-1.927,5.84,5.84,85.50,75.05,6.686,8.08,6.700,6.700,
8.500,20.969,0.095,0.179,196.712,998.111,-1.927,5.85,5.85,86.59,72.74,6.481,8.11,6.495,6.495,
8.600,20.969,0.095,0.179,196.686,998.111,-1.927,5.90,5.90,89.49,74.38,6.627,8.10,6.641,6.641,
8.700,20.969,0.095,0.179,196.870,998.112,-1.927,5.88,5.88,85.86,76.26,6.793,8.11,6.808,6.808,
8.800,20.969,0.095,0.179,196.952,998.112,-1.927,5.87,5.87,83.88,77.20,6.877,8.10,6.892,6.892,
8.900,20.970,0.095,0.180,197.533,998.113,-1.927,5.82,5.82,80.89,74.08,6.600,8.11,6.614,6.615,
9.000,20.969,0.095,0.180,197.501,998.113,-1.927,5.67,5.67,76.74,68.72,6.123,8.10,6.136,6.137,
9.100,20.970,0.095,0.180,197.531,998.114,-1.927,5.75,5.75,80.73,71.00,6.326,8.10,6.339,6.340,
9.200,20.970,0.095,0.180,197.549,998.114,-1.927,5.80,5.80,85.50,69.24,6.169,8.11,6.182,6.182,
9.300,20.969,0.095,0.180,197.936,998.115,-1.927,5.84,5.84,84.72,70.28,6.260,8.11,6.273,6.274,
9.400,20.970,0.095,0.180,197.947,998.115,-1.927,5.84,5.84,85.46,71.08,6.331,8.11,6.345,6.345,
9.500,20.969,0.095,0.180,197.980,998.116,-1.927,5.80,5.80,85.08,73.85,6.579,8.11,6.593,6.593,
9.600,20.970,0.095,0.180,197.848,998.116,-1.927,5.82,5.82,85.08,72.97,6.501,8.11,6.515,6.515,
9.700,20.970,0.095,0.180,197.749,998.116,-1.927,5.87,5.87,86.46,68.91,6.139,8.11,6.152,6.152,
9.800,20.970,0.095,0.180,197.706,998.117,-1.927,5.80,5.80,84.36,70.74,6.302,8.11,6.315,6.315,
9.900,20.971,0.095,0.180,197.784,998.117,-1.927,5.74,5.74,80.80,68.16,6.072,8.11,6.084,6.085,
10.000,20.971,0.095,0.180,197.942,998.118,-1.927,5.71,5.71,78.46,67.11,5.979,8.12,5.992,5.992,
10.100,20.971,0.095,0.180,197.396,998.118,-1.927,5.67,5.67,77.39,65.72,5.855,8.11,5.868,5.868,
10.200,20.970,0.095,0.180,197.429,998.118,-1.927,5.73,5.73,80.65,73.81,6.577,8.11,6.591,6.591,
10.300,20.971,0.095,0.180,197.650,998.119,-1.927,5.75,5.75,82.31,66.95,5.966,8.11,5.979,5.979,
10.400,20.970,0.095,0.180,197.486,998.119,-1.927,5.71,5.71,78.93,78.48,6.993,8.12,7.007,7.008,
10.500,20.971,0.095,0.180,197.615,998.120,-1.927,5.69,5.69,79.80,67.93,6.053,8.11,6.066,6.066,
10.600,20.969,0.095,0.179,196.800,998.120,-1.927,5.69,5.69,80.40,77.94,6.944,8.10,6.959,6.959,
10.700,20.970,0.095,0.180,197.273,998.121,-1.927,5.69,5.69,78.98,78.85,7.026,8.10,7.041,7.041,
10.800,20.970,0.095,0.180,197.470,998.121,-1.927,5.83,5.83,85.51,72.15,6.428,8.11,6.442,6.442,
10.900,20.970,0.095,0.180,197.841,998.122,-1.927,5.86,5.86,85.64,73.32,6.532,8.10,6.546,6.547,
11.000,20.969,0.095,0.181,198.187,998.122,-1.927,5.84,5.84,85.00,72.63,6.470,8.09,6.484,6.484,
11.100,20.969,0.095,0.181,198.168,998.123,-1.927,5.84,5.84,86.80,73.77,6.571,8.08,6.585,6.585,
11.200,20.969,0.095,0.180,197.800,998.123,-1.927,5.86,5.86,84.88,70.02,6.237,8.11,6.250,6.251,
11.300,20.969,0.095,0.180,197.898,998.124,-1.927,5.80,5.80,82.63,68.93,6.140,8.10,6.153,6.153,
11.400,20.970,0.095,0.180,196.986,998.124,-1.927,5.84,5.84,83.61,72.00,6.414,8.11,6.428,6.428,
11.500,20.970,0.095,0.180,196.964,998.124,-1.927,5.87,5.87,87.53,72.16,6.428,8.09,6.442,6.442,
11.600,20.970,0.095,0.180,197.126,998.125,-1.927,5.90,5.90,87.22,68.02,6.058,8.11,6.070,6.071,
11.700,20.970,0.095,0.180,197.144,998.125,-1.927,5.90,5.90,86.49,66.16,5.892,8.10,5.904,5.905,
11.800,20.970,0.095,0.179,196.719,998.125,-1.927,5.88,5.88,85.91,71.40,6.358,8.10,6.372,6.372,
11.900,20.970,0.095,0.181,198.727,998.127,-1.927,5.88,5.88,87.24,81.70,7.276,8.11,7.292,7.292,
12.000,20.969,0.095,0.180,197.916,998.127,-1.927,5.86,5.86,86.42,79.65,7.093,8.11,7.109,7.109,
12.100,20.970,0.095,0.180,197.401,998.127,-1.927,5.87,5.87,86.70,82.77,7.372,8.10,7.387,7.388,
12.200,20.970,0.095,0.179,196.956,998.127,-1.927,5.85,5.85,86.13,79.88,7.114,8.11,7.129,7.130,
12.300,20.970,0.095,0.180,196.988,998.128,-1.927,5.87,5.87,86.32,67.27,5.990,8.10,6.003,6.003,
12.400,20.969,0.095,0.179,196.708,998.128,-1.927,5.84,5.84,84.36,66.82,5.951,8.08,5.964,5.964,
12.500,20.971,0.095,0.180,197.281,998.129,-1.927,5.87,5.87,86.68,77.29,6.883,8.11,6.898,6.898,
12.600,20.971,0.095,0.180,197.016,998.129,-1.928,5.76,5.76,79.34,68.88,6.136,8.10,6.149,6.150,
12.700,20.971,0.095,0.180,197.083,998.129,-1.928,5.69,5.69,77.18,65.68,5.852,8.10,5.864,5.864,
12.800,20.970,0.095,0.180,197.565,998.130,-1.927,5.71,5.71,80.29,70.32,6.265,8.09,6.278,6.278,
12.900,20.970,0.095,0.180,197.949,998.131,-1.927,5.82,5.82,83.96,75.18,6.697,8.09,6.711,6.712,
13.000,20.969,0.095,0.180,197.613,998.131,-1.927,5.84,5.84,84.99,73.21,6.521,8.11,6.535,6.536,
13.100,20.969,0.095,0.180,197.452,998.132,-1.927,5.84,5.84,85.53,68.44,6.096,8.10,6.109,6.109,
13.200,20.970,0.095,0.180,197.087,998.132,-1.927,5.82,5.82,86.59,69.69,6.206,8.11,6.220,6.220,
13.300,20.970,0.095,0.180,197.371,998.132,-1.927,5.82,5.82,86.07,78.64,7.004,8.11,7.018,7.019,
13.400,20.970,0.095,0.180,197.189,998.133,-1.927,5.82,5.82,85.62,71.13,6.335,8.11,6.348,6.348,
