Depth [m],Temp. [deg C],Sal. [ ],Cond. [mS/cm],EC25 [uS/cm],Density [kg/m^3],SigmaT [ ],Chl-Flu. [ppb],Chl-a [ug/l],Turb-M [FTU],DO [%],Weiss-DO [mg/l],Batt. [V],G&G-DO [mg/l],B&K-DO [mg/l],
0.000,20.161,0.012,0.009,9.931,998.181,-1.819,0.07,0.07,15.45,67.48,6.159,8.22,6.171,6.172,
0.100,21.125,0.112,0.215,234.514,998.053,-1.948,1.42,1.42,110.42,69.46,6.149,8.15,6.162,6.163,
0.200,21.315,0.120,0.230,249.813,998.017,-1.984,3.76,3.76,92.00,72.69,6.427,8.15,6.441,6.441,
0.300,21.436,0.136,0.262,284.712,998.003,-1.998,6.07,6.07,77.69,66.40,5.863,8.15,5.876,5.876,
0.400,21.452,0.137,0.265,287.399,998.001,-2.000,6.09,6.09,76.88,68.16,6.018,8.15,6.031,6.031,
0.500,21.459,0.137,0.265,287.108,998.000,-2.002,6.20,6.20,75.91,73.85,6.519,8.15,6.534,6.534,
0.600,21.464,0.137,0.264,286.558,997.999,-2.003,5.61,5.61,70.97,74.03,6.535,8.15,6.549,6.550,
0.700,21.466,0.137,0.264,286.795,997.999,-2.004,5.26,5.26,72.65,76.14,6.721,8.16,6.735,6.736,
0.800,21.467,0.137,0.264,286.447,998.000,-2.004,5.02,5.02,68.85,74.85,6.607,8.15,6.621,6.622,
0.900,21.473,0.136,0.262,283.923,997.998,-2.006,4.75,4.75,68.27,74.63,6.585,8.15,6.599,6.600,
1.000,21.474,0.136,0.262,283.504,997.998,-2.007,4.72,4.72,71.12,71.27,6.289,8.15,6.302,6.303,
1.100,21.474,0.136,0.262,283.852,997.998,-2.007,4.71,4.71,72.52,74.05,6.533,8.16,6.548,6.548,
1.200,21.474,0.136,0.262,283.504,997.999,-2.007,4.68,4.68,73.47,71.43,6.302,8.15,6.316,6.316,
1.300,21.474,0.135,0.261,283.161,997.999,-2.007,4.60,4.60,71.22,71.45,6.305,8.15,6.318,6.319,
1.400,21.474,0.135,0.261,282.969,997.999,-2.007,4.57,4.57,70.07,72.10,6.362,8.15,6.376,6.376,
1.500,21.476,0.135,0.261,282.791,997.999,-2.007,4.52,4.52,68.41,63.87,5.634,8.14,5.647,5.647,
1.600,21.476,0.135,0.261,282.610,998.000,-2.008,4.54,4.54,70.17,64.73,5.710,8.16,5.723,5.723,
1.700,21.476,0.136,0.262,283.698,998.001,-2.007,4.54,4.54,71.53,69.98,6.174,8.15,6.188,6.188,
1.800,21.473,0.136,0.262,284.379,998.002,-2.006,4.56,4.56,71.75,74.57,6.579,8.15,6.593,6.594,
1.900,21.471,0.139,0.267,289.850,998.005,-2.004,4.56,4.56,72.82,78.87,6.957,8.15,6.972,6.973,
2.000,21.462,0.142,0.274,296.770,998.010,-1.999,4.56,4.56,72.22,79.59,7.021,8.15,7.036,7.037,
2.100,21.461,0.141,0.272,295.256,998.010,-2.000,4.56,4.56,71.85,74.01,6.529,8.16,6.543,6.544,
2.200,21.459,0.152,0.294,318.453,998.019,-1.991,4.54,4.54,70.31,72.71,6.415,8.14,6.429,6.429,
2.300,21.454,0.158,0.306,331.392,998.025,-1.985,4.53,4.53,69.73,75.70,6.678,8.15,6.693,6.693,
2.400,21.449,0.165,0.319,345.548,998.032,-1.979,4.53,4.53,69.43,73.49,6.484,8.16,6.498,6.499,
2.500,21.447,0.166,0.320,347.213,998.034,-1.978,4.53,4.53,69.57,81.68,7.207,8.15,7.223,7.223,
2.600,21.446,0.162,0.313,339.460,998.031,-1.980,4.55,4.55,69.71,67.94,5.994,8.14,6.007,6.007,
2.700,21.447,0.161,0.310,336.225,998.031,-1.982,4.58,4.58,71.28,73.33,6.470,8.15,6.484,6.484,
2.800,21.447,0.160,0.309,335.223,998.030,-1.982,4.65,4.65,73.26,63.00,5.559,8.15,5.571,5.571,
2.900,21.447,0.162,0.312,338.781,998.032,-1.981,4.65,4.65,74.10,66.50,5.867,8.15,5.880,5.880,
3.000,21.446,0.166,0.320,346.642,998.036,-1.978,4.66,4.66,75.23,67.25,5.933,8.15,5.946,5.946,
3.100,21.446,0.162,0.313,339.673,998.034,-1.980,4.66,4.66,75.75,71.60,6.317,8.15,6.330,6.331,
3.200,21.447,0.162,0.312,338.129,998.034,-1.981,4.66,4.66,76.30,70.71,6.238,8.15,6.251,6.252,
3.300,21.447,0.162,0.313,339.278,998.034,-1.980,4.66,4.66,76.60,69.12,6.098,8.16,6.112,6.112,
3.400,21.445,0.168,0.324,351.646,998.040,-1.976,4.66,4.66,76.28,68.74,6.064,8.15,6.077,6.077,
3.500,21.443,0.172,0.331,359.382,998.043,-1.972,4.65,4.65,76.10,67.18,5.926,8.15,5.939,5.940,
3.600,21.442,0.174,0.335,363.663,998.046,-1.970,4.65,4.65,76.22,72.55,6.400,8.15,6.414,6.414,
3.700,21.440,0.178,0.343,372.587,998.050,-1.967,4.65,4.65,76.13,72.57,6.402,8.15,6.416,6.416,
3.800,21.436,0.186,0.358,388.718,998.057,-1.960,4.65,4.65,75.92,70.43,6.212,8.15,6.226,6.226,
3.900,21.433,0.190,0.367,397.942,998.061,-1.956,4.64,4.64,75.31,68.10,6.007,8.15,6.020,6.020,
4.000,21.429,0.203,0.392,424.943,998.073,-1.945,4.65,4.65,75.23,66.16,5.836,8.14,5.849,5.849,
4.100,21.424,0.212,0.407,442.246,998.081,-1.938,4.64,4.64,75.23,69.57,6.137,8.15,6.150,6.151,
4.200,21.421,0.216,0.415,450.291,998.085,-1.934,4.62,4.62,74.63,63.76,5.625,8.14,5.637,5.638,
4.300,21.418,0.219,0.421,457.195,998.089,-1.931,4.60,4.60,73.61,61.66,5.440,8.14,5.452,5.452,
4.400,21.416,0.225,0.433,470.533,998.094,-1.925,4.60,4.60,73.86,60.95,5.378,8.14,5.390,5.390,
4.500,21.412,0.237,0.456,494.894,998.105,-1.915,4.56,4.56,71.88,64.76,5.714,8.15,5.727,5.727,
4.600,21.406,0.247,0.473,514.111,998.114,-1.907,4.50,4.50,69.40,78.77,6.950,8.15,6.965,6.966,
4.700,21.404,0.250,0.479,520.597,998.117,-1.904,4.51,4.51,68.27,75.45,6.658,8.15,6.673,6.673,
4.800,21.402,0.256,0.491,533.259,998.123,-1.899,4.52,4.52,68.60,67.35,5.942,8.15,5.955,5.956,
4.900,21.400,0.259,0.496,538.509,998.126,-1.896,4.51,4.51,68.74,61.37,5.415,8.15,5.427,5.427,
5.000,21.396,0.263,0.505,548.190,998.130,-1.892,4.54,4.54,70.56,68.98,6.086,8.15,6.099,6.100,
5.100,21.391,0.273,0.522,566.933,998.139,-1.884,4.55,4.55,72.33,69.26,6.112,8.15,6.125,6.125,
5.200,21.388,0.281,0.537,583.835,998.146,-1.877,4.57,4.57,72.51,70.73,6.241,8.15,6.255,6.255,
5.300,21.384,0.284,0.544,590.762,998.150,-1.873,4.58,4.58,72.51,69.08,6.097,8.15,6.110,6.110,
5.400,21.377,0.295,0.563,612.087,998.160,-1.864,4.59,4.59,72.73,59.68,5.267,8.15,5.279,5.279,
5.500,21.372,0.303,0.579,628.992,998.168,-1.856,4.59,4.59,72.57,64.85,5.724,8.15,5.736,5.736,
5.600,21.364,0.311,0.593,644.847,998.177,-1.849,4.57,4.57,72.04,67.06,5.919,8.15,5.932,5.932,
5.700,21.362,0.312,0.595,646.572,998.178,-1.847,4.58,4.58,71.91,64.02,5.651,8.14,5.663,5.664,
5.800,21.357,0.315,0.600,652.214,998.182,-1.844,4.61,4.61,73.23,65.06,5.743,8.16,5.756,5.756,
5.900,21.356,0.315,0.600,652.337,998.182,-1.844,4.62,4.62,73.64,71.06,6.273,8.16,6.287,6.287,
6.000,21.354,0.316,0.601,653.711,998.184,-1.843,4.62,4.62,73.20,73.49,6.488,8.15,6.502,6.502,
6.100,21.353,0.316,0.602,654.190,998.185,-1.843,4.62,4.62,74.00,70.55,6.229,8.15,6.243,6.243,
6.200,21.352,0.316,0.603,655.559,998.186,-1.842,4.62,4.62,74.57,72.52,6.402,8.15,6.416,6.416,
6.300,21.348,0.320,0.609,662.154,998.190,-1.839,4.60,4.60,72.57,72.85,6.432,8.15,6.446,6.446,
6.400,21.346,0.321,0.611,664.537,998.191,-1.837,4.57,4.57,71.28,76.69,6.771,8.15,6.786,6.786,
6.500,21.340,0.322,0.613,666.947,998.194,-1.835,4.50,4.50,65.04,61.45,5.426,8.15,5.438,5.438,
6.600,21.338,0.324,0.616,670.056,998.196,-1.833,4.47,4.47,63.37,69.91,6.173,8.15,6.186,6.186,
6.700,21.337,0.328,0.624,678.207,998.200,-1.830,4.46,4.46,65.48,71.01,6.270,8.15,6.284,6.284,
6.800,21.336,0.330,0.628,683.442,998.203,-1.828,4.52,4.52,68.25,68.58,6.056,8.15,6.069,6.069,
6.900,21.335,0.335,0.637,692.485,998.207,-1.824,4.53,4.53,68.99,74.02,6.536,8.14,6.551,6.551,
7.000,21.333,0.338,0.642,698.798,998.210,-1.821,4.52,4.52,68.18,71.60,6.322,8.15,6.336,6.336,
7.100,21.334,0.348,0.661,718.615,998.218,-1.814,4.51,4.51,67.33,68.86,6.080,8.15,6.093,6.094,
7.200,21.337,0.355,0.674,732.871,998.223,-1.809,4.50,4.50,67.16,70.08,6.187,8.14,6.200,6.200,
7.300,21.340,0.361,0.685,744.656,998.227,-1.805,4.50,4.50,67.88,73.80,6.514,8.14,6.528,6.529,
7.400,21.343,0.390,0.739,804.069,998.250,-1.783,4.52,4.52,69.29,71.46,6.307,8.15,6.321,6.321,
7.500,21.343,0.408,0.771,838.943,998.263,-1.770,4.53,4.53,69.90,68.48,6.044,8.15,6.057,6.057,
7.600,21.343,0.424,0.802,871.648,998.276,-1.757,4.56,4.56,70.04,71.69,6.326,8.15,6.340,6.340,
7.700,21.340,0.479,0.901,979.997,998.319,-1.715,4.52,4.52,69.82,68.47,6.042,8.15,6.055,6.055,
7.800,21.335,0.517,0.969,1054.059,998.349,-1.686,4.49,4.49,68.82,68.05,6.003,8.15,6.016,6.016,
7.900,21.330,0.550,1.029,1119.080,998.376,-1.659,4.52,4.52,69.05,69.91,6.166,8.15,6.179,6.180,
8.000,21.319,0.596,1.111,1209.378,998.414,-1.621,4.52,4.52,68.83,65.54,5.780,8.14,5.793,5.793,
8.100,21.279,0.924,1.689,1839.861,998.673,-1.363,4.43,4.43,65.87,71.09,6.260,8.15,6.273,6.274,
8.200,21.246,1.005,1.828,1992.218,998.742,-1.295,4.39,4.39,64.54,72.43,6.378,8.16,6.391,6.392,
8.300,21.201,1.074,1.946,2123.489,998.805,-1.232,4.36,4.36,62.37,67.84,5.976,8.15,5.989,5.989,
8.400,21.182,1.149,2.074,2263.742,998.866,-1.171,4.31,4.31,60.28,73.44,6.469,8.15,6.483,6.483,
8.500,21.123,1.894,3.325,3635.182,999.445,-0.593,4.16,4.16,54.13,66.85,5.868,8.14,5.880,5.881,
8.600,21.068,2.427,4.196,4593.552,999.862,-0.176,4.10,4.10,51.67,75.42,6.607,8.15,6.621,6.621,
8.700,21.005,2.887,4.933,5408.588,1000.225,0.186,4.12,4.12,52.11,72.67,6.357,8.15,6.371,6.371,
8.800,20.955,3.323,5.622,6171.005,1000.566,0.527,4.08,4.08,51.74,70.65,6.169,8.14,6.183,6.183,
8.900,20.888,3.867,6.471,7114.502,1000.994,0.954,4.03,4.03,49.53,74.44,6.486,8.16,6.501,6.501,
9.000,20.815,4.671,7.707,8487.978,1001.619,1.579,3.96,3.96,47.20,67.31,5.844,8.14,5.857,5.857,
9.100,20.747,5.275,8.619,9508.213,1002.091,2.051,3.91,3.91,45.71,70.46,6.100,8.14,6.114,6.114,
9.200,20.624,6.006,9.699,10731.875,1002.672,2.631,3.93,3.93,43.12,75.48,6.519,8.15,6.533,6.533,
9.300,20.553,6.756,10.802,11973.747,1003.256,3.215,3.87,3.87,41.04,74.56,6.416,8.15,6.431,6.430,
9.400,20.459,7.551,11.950,13276.346,1003.878,3.836,3.78,3.78,39.36,70.76,6.068,8.15,6.081,6.081,
9.500,20.383,8.052,12.662,14093.653,1004.275,4.233,3.79,3.79,38.59,69.92,5.985,8.15,5.998,5.998,
9.600,20.278,8.980,13.973,15593.369,1005.000,4.958,3.72,3.72,38.16,77.00,6.569,8.15,6.583,6.583,
9.700,20.233,9.387,14.543,16247.186,1005.319,5.276,3.68,3.68,38.56,76.97,6.557,8.15,6.572,6.571,
9.800,20.160,10.297,15.814,17698.968,1006.024,5.981,3.67,3.67,38.79,73.83,6.262,8.14,6.276,6.275,
9.900,20.076,11.088,16.899,18951.864,1006.642,6.598,3.66,3.66,38.13,74.10,6.264,8.14,6.278,6.278,
10.000,20.020,11.738,17.786,19974.853,1007.146,7.102,3.61,3.61,36.83,78.39,6.611,8.15,6.626,6.625,
10.100,19.853,13.534,20.198,22776.816,1008.544,8.499,3.47,3.47,36.24,70.20,5.872,8.15,5.885,5.884,
10.200,19.778,14.126,20.972,23694.114,1009.009,8.964,3.45,3.45,36.28,71.55,5.969,8.15,5.982,5.982,
10.300,19.697,15.222,22.418,25378.616,1009.858,9.813,3.36,3.36,35.16,70.59,5.861,8.15,5.874,5.874,
10.400,19.626,16.040,23.481,26629.334,1010.494,10.449,3.35,3.35,34.92,67.98,5.623,8.15,5.635,5.635,
10.500,19.435,18.043,26.036,29667.892,1012.057,12.011,3.19,3.19,32.77,72.50,5.940,8.15,5.953,5.952,
10.600,19.331,18.511,26.590,30378.572,1012.436,12.389,3.11,3.11,31.76,73.18,5.988,8.15,6.001,6.001,
10.700,19.239,19.033,27.218,31168.213,1012.854,12.807,3.21,3.21,33.47,75.03,6.142,8.14,6.155,6.155,
10.800,19.177,20.095,28.558,32754.442,1013.675,13.628,3.22,3.22,33.83,78.91,6.426,8.15,6.440,6.439,
10.900,18.994,22.363,31.345,36117.206,1015.440,15.393,3.16,3.16,34.72,67.72,5.457,8.15,5.469,5.469,
11.000,18.862,23.537,32.738,37849.107,1016.364,16.316,3.16,3.16,34.18,69.75,5.593,8.15,5.605,5.605,
11.100,18.644,24.603,33.915,39428.678,1017.227,17.178,2.97,2.97,35.51,71.81,5.744,8.14,5.756,5.756,
11.200,18.540,25.784,35.303,41151.492,1018.151,18.102,3.05,3.05,39.68,73.88,5.877,8.14,5.889,5.889,
11.300,18.386,26.891,36.545,42768.652,1019.032,18.983,3.27,3.27,49.72,74.30,5.891,8.14,5.903,5.902,
11.400,18.295,27.420,37.118,43540.860,1019.457,19.407,3.49,3.49,56.87,76.16,6.032,8.13,6.044,6.044,
11.500,18.266,27.636,37.358,43855.278,1019.629,19.579,3.54,3.54,61.25,82.30,6.516,8.14,6.528,6.528,
11.600,18.222,27.817,37.542,44120.581,1019.778,19.727,3.62,3.62,68.38,65.99,5.228,8.14,5.238,5.238,
11.700,18.214,27.848,37.574,44167.261,1019.804,19.753,3.59,3.59,68.86,68.22,5.407,8.15,5.417,5.417,
11.800,18.206,27.875,37.600,44206.663,1019.827,19.775,3.58,3.58,70.32,74.02,5.869,8.15,5.880,5.880,
